RANK(10),MOVEMENT(10),PLAYER_ID,PLAYER,AVG(10),TOTAL DISTANCE(10),TOTAL DRIVES(10)
1,0,52372,Cameron Champ,319.9,21756,68
2,-1,28237,Rory McIlroy,319.3,35127,110
3,-1,47663,Kevin Dougherty,316.1,25288,80
4,-1,37378,Min Woo Lee,314.4,31437,100
5,-1,33948,Byeong Hun An,313.9,37041,118
6,-1,51766,Wyndham Clark,313.3,31954,102
6,0,59095,Chris Gotterup,313.3,31956,102
8,-1,31323,Gary Woodland,312.5,32496,104
9,-1,38991,Alejandro Tosti,312.2,29348,94
10,4,50484,Hayden Springer,311.7,27114,87
11,-2,51070,Vincent Norrman,310.9,26741,86
11,-1,27064,Jhonattan Vegas,310.9,23632,76
13,7,59836,Pierceson Coody,310.4,30727,99
14,0,37212,Paul Barjon,310.0,21083,68
14,0,51977,Max Greyserman,310.0,32545,105
14,-2,39546,Keith Mitchell,310.0,35338,114
17,1,52453,Nicolai Højgaard,309.9,31610,102
17,4,55454,Carl Yuan,309.9,27270,88
19,-7,40250,Taylor Pendrith,309.7,34686,112
19,-8,45242,Kevin Yu,309.7,31590,102
21,2,34255,Joseph Bramlett,309.4,32174,104
21,3,51696,Rico Hoey,309.4,29700,96
23,-9,29936,Ryan Fox,309.3,34638,112
23,-5,47420,Jake Knapp,309.3,39594,128
25,-3,36799,Stephan Jaeger,308.8,35200,114
26,3,48699,Callum Tarren,308.6,28389,92
27,-3,52955,Ludvig Åberg,308.2,35135,114
27,3,54421,Garrick Higgo,308.2,31436,102
29,-5,29725,Tony Finau,308.0,37573,122
30,3,54576,Patrick Fishburn,307.9,23398,76
31,-4,33448,Justin Thomas,307.6,28911,94
32,-4,55893,Sam Stevens,307.1,39308,128
33,5,46113,Ryan McCormick,306.7,24537,80
34,2,48117,Kurt Kitayama,306.5,34936,114
34,-2,34046,Jordan Spieth,306.5,36777,120
34,-3,57366,Cameron Young,306.5,39848,130
37,-2,48081,Xander Schauffele,306.3,36138,118
38,-4,24502,Adam Scott,306.2,33683,110
39,-2,47504,Sam Burns,305.7,32399,106
40,0,36699,Patrick Rodgers,305.4,37873,124
41,2,28420,Ryan Brehm,305.3,24426,80
