RANK(11),MOVEMENT(11),PLAYER_ID,PLAYER,%(11),FAIRWAYS HIT(11),POSSIBLE FAIRWAYS(11)
1,0,46414,Aaron Rai,72.97%,664,910
2,0,50525,Collin Morikawa,72.03%,595,826
2,1,49960,Sepp Straka,72.03%,595,826
4,1,36884,Ben Kohles,71.04%,542,763
5,-1,30911,Tommy Fleetwood,70.18%,560,798
6,2,30927,Brendon Todd,69.90%,692,990
7,-1,26596,Ryan Moore,69.62%,479,688
8,-1,40026,Daniel Berger,69.51%,424,610
9,0,25900,Lucas Glover,69.27%,629,908
10,2,34098,Russell Henley,68.95%,553,802
11,0,52513,Carson Young,68.94%,495,718
12,-2,52375,Doug Ghim,68.77%,502,730
13,0,37455,Si Woo Kim,68.19%,656,962
14,0,57362,Austin Eckroat,68.11%,568,834
15,0,40058,Zac Blair,67.82%,472,696
16,0,33204,Shane Lowry,67.72%,493,728
17,0,36801,Mark Hubbard,67.57%,646,956
18,0,28775,Nate Lashley,67.35%,392,582
19,1,49771,J.T. Poston,67.27%,596,886
20,1,46046,Scottie Scheffler,66.75%,514,770
21,1,26476,Chez Reavie,66.45%,404,608
22,2,55182,Tom Kim,66.20%,658,994
23,-4,34310,Alexander Björk,66.19%,327,494
24,3,32640,Troy Merritt,66.13%,496,750
25,0,45609,Tyler Duncan,66.01%,404,612
26,4,27644,Brian Harman,65.92%,617,936
27,-4,34256,Andrew Putnam,65.66%,524,798
28,1,24024,Zach Johnson,65.61%,311,474
29,3,34076,Joel Dahmen,65.26%,526,806
30,6,56630,Akshay Bhatia,65.11%,599,920
30,-5,55708,Hayden Buckley,65.11%,461,708
32,-4,23320,Ryan Palmer,65.04%,320,492
33,-2,54628,Lee Hodges,64.99%,607,934
34,4,39997,Corey Conners,64.89%,645,994
35,-1,48319,Tom Whitney,64.83%,376,580
36,1,27349,Alex Noren,64.81%,512,790
37,-4,51890,Greyson Sigg,64.80%,464,716
38,1,23108,Matt Kuchar,64.70%,405,626
39,1,34099,Harris English,64.51%,587,910
40,-6,51349,Nico Echavarria,64.48%,521,808
41,2,40115,Adam Svensson,64.15%,671,1046
42,7,34587,Chan Kim,64.12%,495,772
43,2,39971,Sungjae Im,64.09%,564,880
44,-3,40098,Matt Fitzpatrick,64.04%,529,826
45,2,39327,Ben Silverman,63.98%,531,830
46,-3,37275,Sam Ryder,63.74%,450,706
47,1,34213,Grayson Murray,63.72%,339,532
48,4,47079,Harrison Endycott,63.66%,289,454
49,-7,31646,Emiliano Grillo,63.55%,577,908
50,-4,29420,Billy Horschel,63.44%,491,774
51,4,47504,Sam Burns,63.31%,471,744
51,4,30926,Chris Kirk,63.31%,490,774
53,-2,48153,Matthieu Pavon,63.26%,415,656
54,0,52666,Sami Valimaki,63.25%,401,634
55,-5,47983,Chad Ramey,63.14%,418,662
56,3,29908,C.T. Pan,63.04%,377,598
57,0,52955,Ludvig Åberg,63.03%,503,798
58,-5,34046,Jordan Spieth,62.86%,528,840
59,6,33486,Roger Sloan,62.73%,345,550
60,-2,32791,K.H. Lee,62.72%,397,633
61,3,28237,Rory McIlroy,62.66%,480,766
62,1,51287,Ryo Hisatsune,62.59%,502,802
63,-1,28252,Seamus Power,62.36%,565,906
64,-4,35532,Tom Hoge,62.34%,601,964
65,4,32367,Jorge Campillo,62.29%,375,602
66,2,22405,Justin Rose,62.15%,445,716
67,5,33141,Keegan Bradley,62.13%,497,800
67,-2,46717,Viktor Hovland,62.13%,374,602
69,-8,52374,Brandon Wu,62.09%,457,736
70,3,27064,Jhonattan Vegas,62.07%,324,522
71,3,51600,Jimmy Stanger,61.98%,300,484
72,-1,47993,Denny McCarthy,61.88%,599,968
73,2,27649,Brandt Snedeker,61.86%,360,582
74,-7,32757,Patton Kizzire,61.74%,326,528
75,-5,48081,Xander Schauffele,61.68%,507,822
76,3,33399,Adam Hadwin,61.59%,489,794
77,7,36326,David Lipsky,61.38%,383,624
78,7,45522,Christiaan Bezuidenhout,61.34%,495,807
79,1,33413,Ben Martin,61.30%,358,584
80,1,29221,Webb Simpson,61.23%,349,570
81,1,47347,Adam Schenk,61.15%,565,924
82,6,58168,Davis Thompson,61.10%,556,910
83,10,57900,Chandler Phillips,60.99%,444,728
84,10,25493,Nick Taylor,60.95%,501,822
85,-7,51696,Rico Hoey,60.84%,404,664
86,1,28089,Jason Day,60.75%,486,800
87,21,59143,Mac Meissner,60.69%,420,692
88,2,57366,Cameron Young,60.66%,552,910
89,-3,54576,Patrick Fishburn,60.65%,319,526
90,0,29478,Kevin Kisner,60.60%,303,500
91,-14,37378,Min Woo Lee,60.52%,420,694
91,-15,47483,Will Zalatoris,60.52%,420,694
93,2,46442,Maverick McNealy,60.51%,478,790
94,4,45157,Cam Davis,60.47%,514,850
95,1,27936,Martin Laird,60.46%,370,612
96,4,40162,Justin Lower,60.41%,525,869
97,-1,47679,Victor Perez,60.40%,482,798
98,-15,36871,Matt NeSmith,60.37%,419,694
99,0,50493,Justin Suh,60.36%,367,608
100,-12,32102,Rickie Fowler,60.28%,516,856
101,0,32839,Hideki Matsuyama,60.25%,482,800
102,4,52514,Trace Crowe,60.20%,307,510
103,-1,33653,Thomas Detry,60.08%,471,784
104,-1,51634,Sahith Theegala,60.06%,561,934
105,-13,47591,Eric Cole,60.04%,628,1046
106,0,39546,Keith Mitchell,59.67%,469,786
106,-15,46340,Alex Smalley,59.67%,364,610
108,8,35310,Lanto Griffin,59.54%,362,608
109,4,32070,Rafael Campos,59.35%,311,524
110,-6,48117,Kurt Kitayama,59.32%,471,794
111,-2,36799,Stephan Jaeger,59.24%,468,790
112,-2,49947,Taylor Moore,59.01%,550,932
113,-8,40006,Erik van Rooyen,59.00%,485,822
114,3,35450,Patrick Cantlay,58.84%,406,690
115,-4,46441,Robby Shelton,58.77%,422,718
116,-2,54783,Dylan Wu,58.74%,437,744
117,-5,27214,Kevin Streelman,58.70%,351,598
118,5,55454,Carl Yuan,58.42%,354,606
119,6,60067,Joe Highsmith,58.33%,322,552
120,-6,47995,Davis Riley,58.29%,429,736
121,0,29725,Tony Finau,58.14%,493,848
122,-4,45242,Kevin Yu,58.03%,412,710
123,-1,50484,Hayden Springer,57.76%,350,606
124,-4,48867,Matti Schmid,57.58%,380,660
125,6,52215,Robert MacIntyre,57.53%,443,770
126,1,39324,J.J. Spaun,57.52%,390,678
127,-8,51977,Max Greyserman,57.48%,419,729
127,1,55893,Sam Stevens,57.48%,507,882
129,0,24502,Adam Scott,57.44%,440,766
130,3,51070,Vincent Norrman,57.43%,344,599
131,4,60004,Jacob Bridgeman,57.39%,365,636
132,-2,40250,Taylor Pendrith,57.35%,445,776
133,-8,51997,Andrew Novak,57.29%,440,768
134,-2,47420,Jake Knapp,57.19%,509,890
135,1,47663,Kevin Dougherty,57.12%,313,548
136,-2,36699,Patrick Rodgers,57.08%,492,862
137,0,34563,Chesson Hadley,57.07%,347,608
138,-14,35506,Mackenzie Hughes,57.00%,497,872
139,0,22371,Aaron Baddeley,56.97%,376,660
140,3,47988,Nick Hardy,56.66%,451,796
141,-1,59866,Nick Dunlap,56.62%,402,710
142,-1,39977,Max Homa,56.32%,481,854
143,-1,54591,Ben Griffin,56.15%,575,1024
144,-6,33448,Justin Thomas,56.00%,364,650
145,0,27129,Luke List,55.93%,415,742
146,0,59836,Pierceson Coody,55.76%,387,694
147,8,37212,Paul Barjon,55.53%,261,470
148,0,52372,Cameron Champ,55.39%,257,464
149,0,12716,Charley Hoffman,55.26%,336,608
150,0,35461,Beau Hossler,55.18%,437,792
151,-7,57975,Harry Hall,54.88%,439,800
152,4,54421,Garrick Higgo,54.82%,387,706
153,5,50497,Adrien Dumont de Chassart,54.77%,379,692
154,-7,33948,Byeong Hun An,54.71%,453,828
155,-4,33968,Thorbjørn Olesen,54.69%,315,576
156,-2,27139,David Skinns,54.68%,362,662
157,-4,50188,S.H. Kim,54.55%,552,1012
158,-6,33408,Tyson Alexander,54.42%,369,678
159,2,28420,Ryan Brehm,54.18%,298,550
160,-1,39975,Michael Kim,54.16%,404,746
161,-13,51766,Wyndham Clark,53.94%,383,710
162,-5,52453,Nicolai Højgaard,53.68%,379,706
163,-3,27770,Camilo Villegas,53.55%,279,521
