RANK(13),MOVEMENT(13),PLAYER_ID,PLAYER,AVG(13),TOTAL STROKES(13),TOTAL ROUNDS(13)
1,0,46046,Scottie Scheffler,67.78,3999,59
2,0,48081,Xander Schauffele,68.56,4319,63
3,1,46414,Aaron Rai,69.04,4764,69
4,-1,39546,Keith Mitchell,69.08,4214,61
5,-1,58168,Davis Thompson,69.14,4840,70
6,0,54591,Ben Griffin,69.17,5395,78
7,9,52215,Robert MacIntyre,69.27,4087,59
8,4,52955,Ludvig Åberg,69.28,3949,57
8,2,27349,Alex Noren,69.28,4226,61
10,-3,46442,Maverick McNealy,69.33,4160,60
11,6,50525,Collin Morikawa,69.36,4092,59
12,6,51766,Wyndham Clark,69.38,3816,55
12,3,34587,Chan Kim,69.38,4163,60
12,7,28237,Rory McIlroy,69.38,3816,55
15,-6,35532,Tom Hoge,69.40,5066,73
16,-8,51997,Andrew Novak,69.41,4095,59
16,-5,39327,Ben Silverman,69.41,4373,63
18,-6,27064,Jhonattan Vegas,69.49,2849,41
19,0,40006,Erik van Rooyen,69.51,4379,63
19,-7,48887,Matt Wallace,69.51,3545,51
21,4,37455,Si Woo Kim,69.53,5076,73
22,2,55893,Sam Stevens,69.57,4731,68
23,-1,60004,Jacob Bridgeman,69.62,3481,50
23,14,39997,Corey Conners,69.62,4943,71
25,-3,29725,Tony Finau,69.63,4526,65
26,1,52375,Doug Ghim,69.64,3900,56
27,18,57975,Harry Hall,69.66,4249,61
27,16,59143,Mac Meissner,69.66,3692,53
29,-8,45242,Kevin Yu,69.67,3832,55
30,0,57900,Chandler Phillips,69.68,3972,57
31,-3,29420,Billy Horschel,69.69,4112,59
32,14,51977,Max Greyserman,69.70,3973,57
32,-6,36801,Mark Hubbard,69.70,5088,73
32,1,32839,Hideki Matsuyama,69.70,3973,57
32,15,51634,Sahith Theegala,69.70,4670,67
36,-5,45522,Christiaan Bezuidenhout,69.71,4322,62
37,-6,56630,Akshay Bhatia,69.72,4811,69
37,11,39971,Sungjae Im,69.72,4671,67
39,12,32367,Jorge Campillo,69.73,3068,44
40,-6,47504,Sam Burns,69.75,3976,57
40,1,33448,Justin Thomas,69.75,3557,51
40,-11,52513,Carson Young,69.75,3906,56
43,-8,24024,Zach Johnson,69.76,2651,38
43,-6,39975,Michael Kim,69.76,4046,58
45,-1,32757,Patton Kizzire,69.78,2861,41
46,-7,28089,Jason Day,69.80,4258,61
46,-7,35461,Beau Hossler,69.80,4258,61
48,-7,35450,Patrick Cantlay,69.81,3700,53
48,4,27644,Brian Harman,69.81,4677,67
50,-14,51287,Ryo Hisatsune,69.82,4329,62
51,16,47679,Victor Perez,69.84,4051,58
52,27,24502,Adam Scott,69.85,3842,55
53,11,33653,Thomas Detry,69.88,4193,60
54,12,30911,Tommy Fleetwood,69.89,3984,57
