RANK(3),MOVEMENT(3),PLAYER_ID,PLAYER,AVG(3),TOTAL SG:ARG(3),MEASURED ROUNDS(3)
1,0,32839,Hideki Matsuyama,0.819,41.750,51
2,0,29221,Webb Simpson,0.635,25.397,40
3,2,58168,Davis Thompson,0.490,29.868,61
4,0,29908,C.T. Pan,0.462,19.877,43
5,-2,33448,Justin Thomas,0.434,19.112,44
6,6,27349,Alex Noren,0.422,21.931,52
7,9,57975,Harry Hall,0.421,22.294,53
8,-1,22371,Aaron Baddeley,0.415,17.850,43
9,0,46046,Scottie Scheffler,0.400,19.988,50
10,0,27936,Martin Laird,0.398,15.526,39
11,-3,32367,Jorge Campillo,0.395,15.027,38
12,1,50525,Collin Morikawa,0.386,20.444,53
13,1,46442,Maverick McNealy,0.382,20.985,55
14,1,47993,Denny McCarthy,0.377,24.135,64
15,2,29725,Tony Finau,0.361,19.839,55
16,-10,46441,Robby Shelton,0.357,18.187,51
17,1,35461,Beau Hossler,0.347,19.071,55
18,4,59143,Mac Meissner,0.326,14.036,43
19,2,35506,Mackenzie Hughes,0.319,19.442,61
20,-1,30927,Brendon Todd,0.317,22.175,70
21,-10,33486,Roger Sloan,0.304,10.036,33
22,18,28237,Rory McIlroy,0.303,15.135,50
23,0,34098,Russell Henley,0.286,14.887,52
23,12,39971,Sungjae Im,0.286,16.858,59
25,1,39977,Max Homa,0.283,15.540,55
26,-6,26476,Chez Reavie,0.282,10.994,39
27,0,28775,Nate Lashley,0.264,9.763,37
28,-3,30911,Tommy Fleetwood,0.259,13.444,52
28,10,34587,Chan Kim,0.259,12.168,47
30,10,40058,Zac Blair,0.249,12.191,49
31,0,36799,Stephan Jaeger,0.247,13.067,53
31,2,37455,Si Woo Kim,0.247,15.779,64
33,1,35450,Patrick Cantlay,0.242,10.403,43
34,-6,48081,Xander Schauffele,0.240,12.740,53
35,7,34256,Andrew Putnam,0.239,13.363,56
36,-6,50188,S.H. Kim,0.237,15.415,65
37,-13,48887,Matt Wallace,0.234,10.984,47
38,-2,26596,Ryan Moore,0.230,11.250,49
39,0,28089,Jason Day,0.223,11.389,51
40,-3,59095,Chris Gotterup,0.219,10.089,46
41,10,33968,Thorbjørn Olesen,0.218,8.268,38
42,1,54591,Ben Griffin,0.209,13.346,64
43,-11,51287,Ryo Hisatsune,0.205,10.474,51
44,13,46414,Aaron Rai,0.202,11.905,59
45,0,49771,J.T. Poston,0.201,11.664,58
46,13,51894,Vince Whaley,0.200,6.603,33
47,0,23108,Matt Kuchar,0.196,8.646,44
48,-19,55789,Taylor Montgomery,0.193,7.128,37
49,0,27644,Brian Harman,0.190,12.182,64
50,-2,45522,Christiaan Bezuidenhout,0.188,10.520,56
51,3,55893,Sam Stevens,0.165,9.064,55
52,1,52215,Robert MacIntyre,0.164,8.339,51
53,-9,51997,Andrew Novak,0.154,8.467,55
54,3,37378,Min Woo Lee,0.149,6.696,45
55,5,29420,Billy Horschel,0.144,7.367,51
56,-10,25900,Lucas Glover,0.143,8.589,60
57,6,47591,Eric Cole,0.139,9.599,69
58,7,39327,Ben Silverman,0.138,7.291,53
59,7,54783,Dylan Wu,0.137,7.264,53
60,-4,32791,K.H. Lee,0.136,5.564,41
61,0,34255,Joseph Bramlett,0.132,6.451,49
62,-12,60004,Jacob Bridgeman,0.129,4.773,37
62,4,52374,Brandon Wu,0.129,5.676,44
64,0,30926,Chris Kirk,0.128,6.402,50
65,-13,60067,Joe Highsmith,0.124,4.083,33
66,-11,32640,Troy Merritt,0.117,5.256,45
67,1,36699,Patrick Rodgers,0.105,6.279,60
