RANK(4),MOVEMENT(4),PLAYER_ID,PLAYER,%(4),PAR OR BETTER(4),MISSED GIR(4)
1,0,48081,Xander Schauffele,70.35%,223,317
2,1,32839,Hideki Matsuyama,68.90%,237,344
3,3,27349,Alex Noren,68.65%,219,319
4,1,46046,Scottie Scheffler,68.36%,175,256
5,-3,22371,Aaron Baddeley,68.20%,223,327
6,-2,47993,Denny McCarthy,67.92%,326,480
7,0,39327,Ben Silverman,67.86%,228,336
8,1,46442,Maverick McNealy,66.48%,234,352
9,1,30911,Tommy Fleetwood,66.28%,226,341
10,7,46414,Aaron Rai,65.75%,215,327
11,0,54591,Ben Griffin,65.50%,281,429
12,0,28237,Rory McIlroy,65.45%,216,330
13,0,37455,Si Woo Kim,65.39%,274,419
14,0,52955,Ludvig Åberg,65.29%,205,314
15,0,29420,Billy Horschel,65.23%,227,348
16,15,34587,Chan Kim,65.06%,203,312
17,-1,35506,Mackenzie Hughes,65.05%,281,432
18,0,45522,Christiaan Bezuidenhout,65.04%,253,389
19,13,54576,Patrick Fishburn,65.02%,132,203
20,2,39977,Max Homa,64.90%,257,396
21,-1,34310,Alexander Björk,64.80%,162,250
22,-3,27936,Martin Laird,64.59%,166,257
23,-2,28089,Jason Day,64.44%,241,374
24,3,52215,Robert MacIntyre,64.42%,210,326
25,5,55893,Sam Stevens,64.35%,231,359
26,-4,34098,Russell Henley,64.31%,236,367
27,-3,50525,Collin Morikawa,64.21%,235,366
28,0,28775,Nate Lashley,64.14%,161,251
29,-21,55789,Taylor Montgomery,64.03%,178,278
30,-4,34256,Andrew Putnam,63.98%,222,347
31,-6,51890,Greyson Sigg,63.51%,181,285
32,9,57900,Chandler Phillips,63.35%,223,352
33,11,39971,Sungjae Im,63.32%,252,398
33,4,26596,Ryan Moore,63.32%,183,289
35,-6,33486,Roger Sloan,63.29%,150,237
36,3,27644,Brian Harman,63.26%,260,411
37,-1,52375,Doug Ghim,63.23%,184,291
38,5,32367,Jorge Campillo,63.22%,165,261
39,-1,35450,Patrick Cantlay,63.16%,204,323
40,-5,60004,Jacob Bridgeman,63.12%,178,282
41,-8,28252,Seamus Power,63.04%,249,395
42,-8,51997,Andrew Novak,62.78%,194,309
42,-2,48887,Matt Wallace,62.78%,167,266
44,-2,59442,Parker Coody,62.70%,195,311
45,6,48117,Kurt Kitayama,62.57%,219,350
46,3,34099,Harris English,62.50%,255,408
46,9,57975,Harry Hall,62.50%,225,360
48,-2,47504,Sam Burns,62.43%,211,338
49,8,59143,Mac Meissner,62.33%,182,292
50,-5,45609,Tyler Duncan,62.26%,165,265
51,-4,35461,Beau Hossler,62.21%,214,344
52,-2,32791,K.H. Lee,62.16%,184,296
53,0,56630,Akshay Bhatia,61.90%,247,399
54,16,54628,Lee Hodges,61.81%,259,419
54,0,24024,Zach Johnson,61.81%,123,199
56,-8,34255,Joseph Bramlett,61.79%,186,301
57,-6,50188,S.H. Kim,61.72%,316,512
57,-1,29908,C.T. Pan,61.72%,158,256
59,9,25493,Nick Taylor,61.68%,243,394
60,18,40058,Zac Blair,61.66%,201,326
61,2,30927,Brendon Todd,61.64%,286,464
62,-4,40115,Adam Svensson,61.59%,287,466
63,-2,47483,Will Zalatoris,61.54%,200,325
64,-2,51634,Sahith Theegala,61.42%,234,381
65,-2,29221,Webb Simpson,61.40%,175,285
66,-7,51894,Vince Whaley,61.29%,171,279
67,10,33448,Justin Thomas,61.22%,180,294
68,1,40250,Taylor Pendrith,61.21%,213,348
69,-4,47591,Eric Cole,61.11%,319,522
70,-3,36801,Mark Hubbard,61.10%,256,419
70,9,58168,Davis Thompson,61.10%,223,365
72,11,23320,Ryan Palmer,61.02%,144,236
73,21,33653,Thomas Detry,60.98%,225,369
74,7,54783,Dylan Wu,60.94%,195,320
75,-15,22405,Justin Rose,60.92%,212,348
76,-1,36799,Stephan Jaeger,60.91%,215,353
77,-2,32640,Troy Merritt,60.73%,201,331
78,3,23108,Matt Kuchar,60.67%,199,328
79,-8,55454,Carl Yuan,60.61%,180,297
80,6,34076,Joel Dahmen,60.59%,186,307
81,-15,24502,Adam Scott,60.54%,201,332
82,-8,34563,Chesson Hadley,60.52%,164,271
83,12,49960,Sepp Straka,60.47%,205,339
84,-11,35532,Tom Hoge,60.45%,240,397
85,2,33413,Ben Martin,60.40%,151,250
86,-2,49947,Taylor Moore,60.34%,248,411
87,0,40098,Matt Fitzpatrick,60.11%,223,371
88,1,55708,Hayden Buckley,60.06%,188,313
89,4,47347,Adam Schenk,60.05%,251,418
90,-10,59095,Chris Gotterup,60.00%,186,310
90,9,51977,Max Greyserman,60.00%,192,320
92,5,49771,J.T. Poston,59.90%,236,394
93,-2,51287,Ryo Hisatsune,59.87%,188,314
94,-4,39546,Keith Mitchell,59.73%,178,298
95,3,30926,Chris Kirk,59.71%,209,350
96,-11,45242,Kevin Yu,59.70%,157,263
97,-2,46441,Robby Shelton,59.59%,205,344
98,6,12716,Charley Hoffman,59.57%,168,282
99,4,50484,Hayden Springer,59.54%,156,262
100,-8,47079,Harrison Endycott,59.51%,122,205
101,-29,32757,Patton Kizzire,59.47%,113,190
102,15,47679,Victor Perez,59.45%,195,328
103,-3,26476,Chez Reavie,59.38%,152,256
104,-2,34466,Peter Malnati,59.20%,238,402
105,41,51696,Rico Hoey,59.19%,161,272
106,0,55182,Tom Kim,58.92%,251,426
107,-6,40162,Justin Lower,58.89%,212,360
108,-3,51600,Jimmy Stanger,58.88%,126,214
109,2,36699,Patrick Rodgers,58.57%,205,350
110,2,29725,Tony Finau,58.53%,199,340
111,-3,32102,Rickie Fowler,58.35%,234,401
112,35,59836,Pierceson Coody,58.33%,175,300
112,4,52514,Trace Crowe,58.33%,140,240
114,13,33399,Adam Hadwin,58.31%,214,367
115,-6,39324,J.J. Spaun,58.30%,165,283
116,2,47663,Kevin Dougherty,58.22%,131,225
117,-8,52513,Carson Young,58.14%,175,301
118,-3,25900,Lucas Glover,58.10%,226,389
119,5,54421,Garrick Higgo,57.99%,185,319
119,-1,57366,Cameron Young,57.99%,225,388
121,6,45157,Cam Davis,57.96%,233,402
122,-2,40006,Erik van Rooyen,57.94%,186,321
123,-1,33408,Tyson Alexander,57.91%,194,335
124,-1,47988,Nick Hardy,57.89%,187,323
125,-4,33204,Shane Lowry,57.88%,180,311
126,-20,34374,Erik Barnes,57.81%,148,256
127,3,36871,Matt NeSmith,57.80%,163,282
128,11,51766,Wyndham Clark,57.74%,179,310
129,3,33968,Thorbjørn Olesen,57.72%,157,272
130,-17,48153,Matthieu Pavon,57.69%,165,286
131,0,48867,Matti Schmid,57.64%,166,288
132,-3,27139,David Skinns,57.63%,151,262
133,-8,47983,Chad Ramey,57.62%,174,302
134,-8,52666,Sami Valimaki,57.51%,157,273
135,-1,39975,Michael Kim,57.48%,173,301
136,2,32070,Rafael Campos,57.41%,124,216
137,-23,36884,Ben Kohles,57.36%,187,326
138,-6,34213,Grayson Murray,57.20%,147,257
139,-2,47995,Davis Riley,57.06%,194,340
140,8,46340,Alex Smalley,57.03%,150,263
141,0,33948,Byeong Hun An,56.97%,188,330
141,16,52374,Brandon Wu,56.97%,184,323
143,-7,46113,Ryan McCormick,56.49%,135,239
144,-2,47420,Jake Knapp,56.46%,223,395
145,-2,27064,Jhonattan Vegas,56.45%,105,186
146,-11,27129,Luke List,56.39%,181,321
147,-3,39997,Corey Conners,56.37%,208,369
147,-7,31646,Emiliano Grillo,56.37%,230,408
149,-4,51349,Nico Echavarria,56.33%,187,332
150,0,52372,Cameron Champ,56.25%,117,208
150,0,29478,Kevin Kisner,56.25%,144,256
152,2,52453,Nicolai Højgaard,56.19%,177,315
153,-3,60067,Joe Highsmith,56.15%,137,244
154,-3,27214,Kevin Streelman,56.11%,147,262
155,1,36326,David Lipsky,56.06%,148,264
156,-4,37275,Sam Ryder,55.92%,170,304
157,-8,28420,Ryan Brehm,55.39%,149,269
158,-3,34046,Jordan Spieth,55.31%,198,358
159,5,27649,Brandt Snedeker,55.24%,158,286
160,-7,37378,Min Woo Lee,55.03%,175,318
161,-3,33141,Keegan Bradley,54.97%,188,342
162,-3,57362,Austin Eckroat,54.74%,208,380
163,-3,48319,Tom Whitney,54.73%,133,243
164,4,48119,Ben Taylor,54.61%,148,271
165,-5,40026,Daniel Berger,54.51%,133,244
166,5,35310,Lanto Griffin,54.35%,125,230
167,-2,29936,Ryan Fox,54.32%,195,359
168,-6,46717,Viktor Hovland,54.07%,133,246
169,-6,50497,Adrien Dumont de Chassart,53.90%,166,308
170,-3,51070,Vincent Norrman,53.53%,129,241
171,-2,48699,Callum Tarren,53.51%,160,299
172,-6,59866,Nick Dunlap,53.22%,182,342
173,-3,50493,Justin Suh,53.02%,149,281
174,-2,38991,Alejandro Tosti,52.03%,154,296
175,-2,27770,Camilo Villegas,51.26%,122,238
176,-2,37212,Paul Barjon,50.22%,115,229
177,-2,31323,Gary Woodland,49.86%,174,349
