RANK(5),MOVEMENT(5),PLAYER_ID,PLAYER,AVG DTP(5),TOTAL DISTANCE (FEET)(5),# OF SHOTS(5),SCRAMBLING RANK(5)
1,1,57975,Harry Hall,6' 4",2248.667,355,46
1,3,39971,Sungjae Im,6' 4",2483.833,390,33
3,-1,46046,Scottie Scheffler,6' 5",1880.583,294,4
3,-2,46441,Robby Shelton,6' 5",2131.250,333,97
5,0,60004,Jacob Bridgeman,6' 7",1440.500,219,40
5,4,32367,Jorge Campillo,6' 7",1581.667,240,38
5,0,27936,Martin Laird,6' 7",1473.500,223,22
8,-3,37455,Si Woo Kim,6' 8",2958.083,444,13
8,1,46442,Maverick McNealy,6' 8",2439.333,364,8
8,-3,26596,Ryan Moore,6' 8",2146.167,323,33
11,0,47591,Eric Cole,6' 9",3237.750,478,69
11,14,39324,J.J. Spaun,6' 9",1884.500,278,115
13,-2,25900,Lucas Glover,6' 10",2528.833,369,118
13,1,48117,Kurt Kitayama,6' 10",2224.333,327,45
13,6,47993,Denny McCarthy,6' 10",3044.750,445,6
13,1,28237,Rory McIlroy,6' 10",2183.250,320,12
13,1,32640,Troy Merritt,6' 10",2003.250,294,77
13,1,50525,Collin Morikawa,6' 10",2577.417,379,27
13,-2,51997,Andrew Novak,6' 10",2190.917,322,42
20,-1,22371,Aaron Baddeley,6' 11",2103.667,303,5
20,10,34587,Chan Kim,6' 11",1959.250,284,16
20,-6,57900,Chandler Phillips,6' 11",2264.750,329,32
20,-1,27214,Kevin Streelman,6' 11",1564.250,225,154
24,1,29725,Tony Finau,7' 0",2332.417,333,110
24,1,34098,Russell Henley,7' 0",2483.833,353,26
24,1,36799,Stephan Jaeger,7' 0",2588.667,368,76
24,16,32839,Hideki Matsuyama,7' 0",2450.000,349,2
24,1,27349,Alex Noren,7' 0",2447.583,348,3
24,6,46414,Aaron Rai,7' 0",2370.500,339,10
24,16,54783,Dylan Wu,7' 0",2287.583,325,74
31,-1,35450,Patrick Cantlay,7' 1",2109.833,299,39
31,-1,32791,K.H. Lee,7' 1",1919.750,270,52
31,9,52215,Robert MacIntyre,7' 1",2434.500,345,24
31,21,59143,Mac Meissner,7' 1",1924.750,272,49
31,-1,49771,J.T. Poston,7' 1",2595.333,367,92
31,-12,47983,Chad Ramey,7' 1",1910.750,270,133
31,-1,55893,Sam Stevens,7' 1",2398.417,340,25
31,9,58168,Davis Thompson,7' 1",2845.750,401,70
31,-12,30927,Brendon Todd,7' 1",3289.667,467,61
40,-10,45522,Christiaan Bezuidenhout,7' 2",2660.833,373,18
40,0,54591,Ben Griffin,7' 2",2870.417,402,11
40,-10,39546,Keith Mitchell,7' 2",2207.583,308,94
40,12,26476,Chez Reavie,7' 2",1760.667,246,103
40,0,33486,Roger Sloan,7' 2",1527.333,213,35
40,18,46340,Alex Smalley,7' 2",1696.667,238,140
40,0,40115,Adam Svensson,7' 2",3441.417,480,62
47,-7,27644,Brian Harman,7' 3",3015.750,416,36
47,5,51287,Ryo Hisatsune,7' 3",2324.750,319,93
