RANK(6),MOVEMENT(6),PLAYER_ID,PLAYER,AVG(6),TOTAL SG:APP(6),MEASURED ROUNDS(6)
1,0,46046,Scottie Scheffler,1.485,74.268,50
2,0,35532,Tom Hoge,0.911,61.007,67
3,0,29725,Tony Finau,0.865,47.556,55
4,0,39997,Corey Conners,0.853,56.282,66
5,0,48081,Xander Schauffele,0.779,41.295,53
6,0,39546,Keith Mitchell,0.737,40.540,55
7,0,46414,Aaron Rai,0.623,36.761,59
8,1,52955,Ludvig Åberg,0.601,30.648,51
9,3,52375,Doug Ghim,0.585,28.062,48
10,0,33204,Shane Lowry,0.584,27.463,47
11,0,32757,Patton Kizzire,0.557,17.816,32
12,5,51890,Greyson Sigg,0.549,25.821,47
13,2,37455,Si Woo Kim,0.548,35.091,64
14,-1,45242,Kevin Yu,0.545,25.609,47
15,-1,25900,Lucas Glover,0.523,31.351,60
16,-8,33448,Justin Thomas,0.517,22.743,44
17,1,56630,Akshay Bhatia,0.494,30.118,61
18,2,57362,Austin Eckroat,0.473,26.943,57
19,-3,34076,Joel Dahmen,0.454,22.255,49
20,9,34587,Chan Kim,0.443,20.802,47
21,36,26476,Chez Reavie,0.440,17.152,39
22,-1,40026,Daniel Berger,0.438,16.219,37
23,0,33413,Ben Martin,0.434,14.337,33
24,-5,26596,Ryan Moore,0.431,21.143,49
25,1,54783,Dylan Wu,0.429,22.728,53
26,2,27064,Jhonattan Vegas,0.410,13.537,33
27,-2,28237,Rory McIlroy,0.397,19.846,50
28,2,51634,Sahith Theegala,0.391,23.835,61
29,-2,51997,Andrew Novak,0.382,21.022,55
30,2,34098,Russell Henley,0.379,19.722,52
31,2,32839,Hideki Matsuyama,0.365,18.609,51
32,-10,27139,David Skinns,0.360,15.459,43
32,5,49960,Sepp Straka,0.360,19.063,53
34,0,40115,Adam Svensson,0.359,26.217,73
35,13,39324,J.J. Spaun,0.356,16.752,47
36,27,52453,Nicolai Højgaard,0.354,15.241,43
37,17,27644,Brian Harman,0.350,22.385,64
38,-3,48153,Matthieu Pavon,0.347,14.224,41
39,6,50525,Collin Morikawa,0.340,18.003,53
40,1,37275,Sam Ryder,0.336,15.139,45
41,-17,58168,Davis Thompson,0.335,20.441,61
42,-2,47679,Victor Perez,0.332,16.249,49
43,-4,27349,Alex Noren,0.329,17.128,52
44,-2,45522,Christiaan Bezuidenhout,0.327,18.313,56
45,-9,54628,Lee Hodges,0.322,20.303,63
45,14,40006,Erik van Rooyen,0.322,17.387,54
47,-16,46717,Viktor Hovland,0.309,12.354,40
48,-5,33141,Keegan Bradley,0.305,15.566,51
49,2,59143,Mac Meissner,0.299,12.847,43
50,-12,57900,Chandler Phillips,0.293,14.644,50
51,5,25493,Nick Taylor,0.291,16.286,56
52,-3,57366,Cameron Young,0.288,17.255,60
53,-7,33948,Byeong Hun An,0.284,15.332,54
54,-10,48117,Kurt Kitayama,0.271,14.089,52
55,14,32640,Troy Merritt,0.263,11.828,45
56,9,48887,Matt Wallace,0.261,12.277,47
57,-5,31646,Emiliano Grillo,0.257,15.648,61
58,-3,36801,Mark Hubbard,0.253,15.963,63
59,-9,47483,Will Zalatoris,0.246,11.092,45
60,7,54591,Ben Griffin,0.243,15.548,64
61,-2,47420,Jake Knapp,0.239,14.104,59
62,20,36326,David Lipsky,0.219,9.179,42
63,10,55182,Tom Kim,0.213,14.047,66
64,-3,51287,Ryo Hisatsune,0.211,10.761,51
65,5,30926,Chris Kirk,0.190,9.503,50
66,-13,28252,Seamus Power,0.187,11.757,63
67,-21,39977,Max Homa,0.175,9.608,55
68,4,60004,Jacob Bridgeman,0.173,6.387,37
69,-2,52513,Carson Young,0.169,8.265,49
70,13,32367,Jorge Campillo,0.168,6.393,38
70,-6,39975,Michael Kim,0.168,7.551,45
72,-6,51766,Wyndham Clark,0.167,8.020,48
73,-11,40162,Justin Lower,0.162,9.382,58
74,22,57975,Harry Hall,0.161,8.558,53
75,-17,59442,Parker Coody,0.157,6.769,43
76,9,33399,Adam Hadwin,0.138,7.188,52
77,-1,52666,Sami Valimaki,0.130,5.872,45
78,8,51696,Rico Hoey,0.126,4.902,39
78,6,24502,Adam Scott,0.126,6.321,50
80,1,35310,Lanto Griffin,0.115,4.503,39
80,10,46113,Ryan McCormick,0.115,3.803,33
82,-7,29908,C.T. Pan,0.107,4.616,43
83,-5,28775,Nate Lashley,0.093,3.445,37
84,-5,34213,Grayson Murray,0.087,2.877,33
85,14,47988,Nick Hardy,0.086,4.570,53
86,-12,39327,Ben Silverman,0.081,4.274,53
87,8,39971,Sungjae Im,0.075,4.425,59
88,-8,46441,Robby Shelton,0.060,3.077,51
89,-2,35450,Patrick Cantlay,0.059,2.549,43
90,2,48319,Tom Whitney,0.053,1.750,33
91,-2,59866,Nick Dunlap,0.048,2.299,48
92,-21,27214,Kevin Streelman,0.047,1.802,38
93,0,36799,Stephan Jaeger,0.042,2.229,53
94,-6,12716,Charley Hoffman,0.035,1.374,39
94,4,34256,Andrew Putnam,0.035,1.939,56
96,12,29936,Ryan Fox,0.033,1.691,51
97,24,40058,Zac Blair,0.028,1.393,49
98,6,51977,Max Greyserman,0.020,0.892,44
99,13,33486,Roger Sloan,0.019,0.632,33
100,-6,27129,Luke List,0.018,0.863,47
101,-4,47504,Sam Burns,0.016,0.792,50
102,-12,47591,Eric Cole,0.013,0.920,69
103,13,52215,Robert MacIntyre,0.009,0.468,51
104,7,30911,Tommy Fleetwood,0.003,0.136,52
105,-28,32070,Rafael Campos,0.001,0.015,29
106,-5,40250,Taylor Pendrith,-0.011,-0.541,51
107,-7,34255,Joseph Bramlett,-0.017,-0.814,49
108,-6,24024,Zach Johnson,-0.018,-0.566,32
109,16,52374,Brandon Wu,-0.031,-1.354,44
110,-7,33968,Thorbjørn Olesen,-0.049,-1.859,38
111,-1,36884,Ben Kohles,-0.051,-2.432,48
112,-5,31323,Gary Woodland,-0.057,-2.778,49
113,-4,40098,Matt Fitzpatrick,-0.062,-3.330,54
114,1,45157,Cam Davis,-0.063,-3.553,56
115,-11,47993,Denny McCarthy,-0.082,-5.221,64
116,-10,34046,Jordan Spieth,-0.085,-4.846,57
117,-3,34563,Chesson Hadley,-0.091,-3.909,43
118,21,36871,Matt NeSmith,-0.110,-4.934,45
119,-2,29420,Billy Horschel,-0.113,-5.786,51
120,2,33653,Thomas Detry,-0.119,-6.544,55
121,-3,46442,Maverick McNealy,-0.140,-7.690,55
121,-3,49771,J.T. Poston,-0.140,-8.093,58
123,4,60067,Joe Highsmith,-0.166,-5.477,33
124,-11,55454,Carl Yuan,-0.169,-6.927,41
125,-5,30927,Brendon Todd,-0.175,-12.226,70
126,7,50484,Hayden Springer,-0.188,-6.970,37
127,-4,34310,Alexander Björk,-0.201,-7.051,35
128,7,34099,Harris English,-0.233,-13.754,59
129,0,51349,Nico Echavarria,-0.235,-11.506,49
