RANK(7),MOVEMENT(7),PLAYER_ID,PLAYER,%(7),GREENS HIT(7),# HOLES(7),RELATIVE/PAR(7)
1,0,46046,Scottie Scheffler,74.14%,734,990,-0.37
2,0,27064,Jhonattan Vegas,72.81%,498,684,-0.29
3,0,46414,Aaron Rai,72.47%,861,1188,-0.29
4,0,32757,Patton Kizzire,72.22%,494,684,-0.30
5,0,45242,Kevin Yu,71.35%,655,918,-0.25
6,1,39997,Corey Conners,71.13%,909,1278,-0.30
7,1,35310,Lanto Griffin,70.96%,562,792,-0.27
7,-1,39546,Keith Mitchell,70.96%,728,1026,-0.31
9,0,34076,Joel Dahmen,70.59%,737,1044,-0.25
10,2,54576,Patrick Fishburn,70.32%,481,684,-0.25
11,3,48081,Xander Schauffele,70.15%,745,1062,-0.33
12,-2,51287,Ryo Hisatsune,69.92%,730,1044,-0.26
13,13,40006,Erik van Rooyen,69.77%,741,1062,-0.32
14,-1,27139,David Skinns,69.68%,602,864,-0.28
15,0,51890,Greyson Sigg,69.55%,651,936,-0.21
16,1,52375,Doug Ghim,69.50%,663,954,-0.27
17,5,52955,Ludvig Åberg,69.40%,712,1026,-0.32
18,-7,51997,Andrew Novak,69.35%,699,1008,-0.31
19,-3,58168,Davis Thompson,69.28%,823,1188,-0.31
20,9,48887,Matt Wallace,69.21%,598,864,-0.28
21,-2,40026,Daniel Berger,69.19%,548,792,-0.24
22,3,34587,Chan Kim,69.05%,696,1008,-0.30
23,-3,29725,Tony Finau,69.03%,758,1098,-0.31
23,7,39975,Michael Kim,69.03%,671,972,-0.30
25,-7,33948,Byeong Hun An,68.93%,732,1062,-0.32
26,7,27349,Alex Noren,68.91%,707,1026,-0.27
27,-4,39327,Ben Silverman,68.89%,744,1080,-0.27
28,-4,51070,Vincent Norrman,68.86%,533,774,-0.18
29,-1,55893,Sam Stevens,68.84%,793,1152,-0.28
30,7,47663,Kevin Dougherty,68.75%,495,720,-0.28
31,14,36871,Matt NeSmith,68.67%,618,900,-0.24
32,-5,36699,Patrick Rodgers,68.64%,766,1116,-0.29
33,5,47679,Victor Perez,68.58%,716,1044,-0.28
34,8,47988,Nick Hardy,68.52%,703,1026,-0.27
34,-3,51696,Rico Hoey,68.52%,592,864,-0.31
36,-15,32070,Rafael Campos,68.42%,468,684,-0.27
37,-1,51634,Sahith Theegala,68.41%,825,1206,-0.31
38,0,40162,Justin Lower,68.25%,774,1134,-0.26
39,5,46717,Viktor Hovland,68.22%,528,774,-0.34
40,-8,51349,Nico Echavarria,68.20%,712,1044,-0.29
41,-6,49960,Sepp Straka,68.08%,723,1062,-0.27
42,-8,35532,Tom Hoge,68.04%,845,1242,-0.34
43,-3,39324,J.J. Spaun,67.91%,599,882,-0.28
44,3,26596,Ryan Moore,67.89%,611,900,-0.24
45,3,48319,Tom Whitney,67.86%,513,756,-0.24
46,-3,34255,Joseph Bramlett,67.84%,635,936,-0.26
46,-6,52513,Carson Young,67.84%,635,936,-0.29
48,3,54591,Ben Griffin,67.79%,903,1332,-0.31
49,22,26476,Chez Reavie,67.68%,536,792,-0.25
50,7,52215,Robert MacIntyre,67.66%,682,1008,-0.30
51,4,59143,Mac Meissner,67.56%,608,900,-0.30
52,-6,27936,Martin Laird,67.55%,535,792,-0.25
53,-4,24024,Zach Johnson,67.48%,413,612,-0.25
54,12,36326,David Lipsky,67.41%,546,810,-0.24
55,23,33486,Roger Sloan,67.08%,483,720,-0.26
55,8,54783,Dylan Wu,67.08%,652,972,-0.31
57,26,36884,Ben Kohles,67.07%,664,990,-0.25
58,38,32367,Jorge Campillo,67.05%,531,792,-0.28
59,-5,52666,Sami Valimaki,67.03%,555,828,-0.30
60,-8,33413,Ben Martin,66.93%,506,756,-0.27
60,-8,29908,C.T. Pan,66.93%,518,774,-0.27
62,1,50484,Hayden Springer,66.92%,530,792,-0.32
63,36,37275,Sam Ryder,66.88%,614,918,-0.32
64,-6,34046,Jordan Spieth,66.85%,722,1080,-0.32
65,-6,57366,Cameron Young,66.84%,782,1170,-0.31
66,6,46113,Ryan McCormick,66.81%,481,720,-0.31
67,-6,28775,Nate Lashley,66.80%,505,756,-0.27
68,-2,46340,Alex Smalley,66.79%,529,792,-0.28
69,-7,33204,Shane Lowry,66.77%,625,936,-0.29
70,18,30911,Tommy Fleetwood,66.76%,685,1026,-0.29
71,-12,25900,Lucas Glover,66.75%,781,1170,-0.29
72,-9,33141,Keegan Bradley,66.67%,684,1026,-0.31
72,-17,59836,Pierceson Coody,66.67%,600,900,-0.33
72,9,55182,Tom Kim,66.67%,852,1278,-0.31
72,8,28237,Rory McIlroy,66.67%,660,990,-0.34
72,-22,48867,Matti Schmid,66.67%,576,864,-0.30
77,-11,45609,Tyler Duncan,66.54%,527,792,-0.24
78,-9,35461,Beau Hossler,66.47%,682,1026,-0.30
78,-6,32839,Hideki Matsuyama,66.47%,682,1026,-0.29
80,5,51977,Max Greyserman,66.46%,634,954,-0.30
80,28,24502,Adam Scott,66.46%,658,990,-0.30
82,-12,56630,Akshay Bhatia,66.41%,789,1188,-0.31
83,0,27129,Luke List,66.35%,633,954,-0.30
84,-5,36801,Mark Hubbard,66.26%,823,1242,-0.31
84,3,37455,Si Woo Kim,66.26%,823,1242,-0.30
86,-12,28252,Seamus Power,66.24%,775,1170,-0.27
87,12,51766,Wyndham Clark,66.23%,608,918,-0.38
87,-10,59095,Chris Gotterup,66.23%,608,918,-0.28
89,3,48153,Matthieu Pavon,66.19%,560,846,-0.28
90,0,34256,Andrew Putnam,66.18%,679,1026,-0.27
