RANK(8),MOVEMENT(8),PLAYER_ID,PLAYER,AVG(8),SG:OTT(8),SG:APR(8),SG:ARG(8),MEASURED ROUNDS(8)
1,0,46046,Scottie Scheffler,2.723,0.838,1.485,0.400,50
2,1,28237,Rory McIlroy,1.621,0.921,0.397,0.303,50
3,-1,48081,Xander Schauffele,1.619,0.600,0.779,0.240,53
4,0,32839,Hideki Matsuyama,1.513,0.329,0.365,0.819,51
5,0,39546,Keith Mitchell,1.404,0.790,0.737,-0.123,55
6,0,29725,Tony Finau,1.391,0.166,0.865,0.361,55
7,1,39997,Corey Conners,1.226,0.375,0.853,-0.002,66
8,1,50525,Collin Morikawa,1.221,0.495,0.340,0.386,53
9,2,37455,Si Woo Kim,1.195,0.400,0.548,0.247,64
10,0,46414,Aaron Rai,1.168,0.343,0.623,0.202,59
11,1,52955,Ludvig Åberg,1.148,0.523,0.601,0.023,51
12,-5,33448,Justin Thomas,1.112,0.161,0.517,0.434,44
13,0,58168,Davis Thompson,1.045,0.220,0.335,0.490,61
14,4,34587,Chan Kim,0.947,0.245,0.443,0.259,47
15,-1,27064,Jhonattan Vegas,0.924,0.694,0.410,-0.180,33
16,0,27349,Alex Noren,0.919,0.168,0.329,0.422,52
17,-2,52375,Doug Ghim,0.902,0.327,0.585,-0.010,48
18,1,33204,Shane Lowry,0.826,0.276,0.584,-0.035,47
19,-2,45242,Kevin Yu,0.808,0.625,0.545,-0.362,47
20,1,56630,Akshay Bhatia,0.759,0.328,0.494,-0.063,61
21,16,59143,Mac Meissner,0.741,0.116,0.299,0.326,43
22,9,39971,Sungjae Im,0.719,0.358,0.075,0.286,59
23,4,51634,Sahith Theegala,0.710,0.401,0.391,-0.082,61
24,1,48117,Kurt Kitayama,0.704,0.408,0.271,0.025,52
25,-1,33948,Byeong Hun An,0.689,0.429,0.284,-0.024,54
26,-3,40026,Daniel Berger,0.667,0.314,0.438,-0.086,37
27,-1,26596,Ryan Moore,0.661,0.000,0.431,0.230,49
28,1,35532,Tom Hoge,0.655,0.007,0.911,-0.263,67
29,3,57366,Cameron Young,0.652,0.427,0.288,-0.063,60
30,20,51696,Rico Hoey,0.649,0.655,0.126,-0.131,39
30,-10,51997,Andrew Novak,0.649,0.113,0.382,0.154,55
32,1,34098,Russell Henley,0.647,-0.019,0.379,0.286,52
33,-11,25900,Lucas Glover,0.642,-0.024,0.523,0.143,60
34,0,36799,Stephan Jaeger,0.641,0.352,0.042,0.247,53
35,1,46442,Maverick McNealy,0.637,0.395,-0.140,0.382,55
36,-8,34076,Joel Dahmen,0.615,0.351,0.454,-0.191,49
37,-2,51766,Wyndham Clark,0.608,0.387,0.167,0.054,48
38,0,30926,Chris Kirk,0.606,0.288,0.190,0.128,50
39,2,27644,Brian Harman,0.588,0.048,0.350,0.190,64
40,-1,57362,Austin Eckroat,0.587,0.343,0.473,-0.211,57
41,8,30911,Tommy Fleetwood,0.530,0.268,0.003,0.259,52
42,10,32367,Jorge Campillo,0.523,-0.041,0.168,0.395,38
43,-13,37378,Min Woo Lee,0.518,0.695,-0.326,0.149,45
44,-4,29908,C.T. Pan,0.512,-0.058,0.107,0.462,43
45,15,52215,Robert MacIntyre,0.509,0.336,0.009,0.164,51
46,-4,40115,Adam Svensson,0.500,0.068,0.359,0.072,73
47,10,24502,Adam Scott,0.490,0.356,0.126,0.007,50
48,-3,49960,Sepp Straka,0.487,0.330,0.360,-0.203,53
49,4,40006,Erik van Rooyen,0.479,0.402,0.322,-0.245,54
