RANK(0),MOVEMENT(14),PLAYER_ID,PLAYER,AVG(0),TOTAL STROKES(0),TOTAL ADJUSTMENT(0),TOTAL ROUNDS(0)
1,0,46046,Scottie Scheffler,68.483,3999,41.501,59
2,0,48081,Xander Schauffele,69.191,4319,40.053,63
3,0,28237,Rory McIlroy,69.429,3816,2.586,55
4,1,50525,Collin Morikawa,69.770,4092,24.442,59
5,-1,58168,Davis Thompson,69.831,4840,48.183,70
6,1,52955,Ludvig Åberg,69.838,3949,31.748,57
7,-1,46414,Aaron Rai,69.847,4764,55.472,69
8,0,29420,Billy Horschel,70.036,4112,20.146,59
9,3,27349,Alex Noren,70.050,4226,47.048,61
10,-1,39546,Keith Mitchell,70.086,4214,61.220,61
11,-1,45522,Christiaan Bezuidenhout,70.105,4322,24.504,62
12,-1,56630,Akshay Bhatia,70.162,4811,30.207,69
13,11,24502,Adam Scott,70.181,3842,17.951,55
14,4,51634,Sahith Theegala,70.189,4670,32.692,67
15,1,39997,Corey Conners,70.192,4943,40.603,71
16,-3,29725,Tony Finau,70.216,4526,38.010,65
17,-3,32839,Hideki Matsuyama,70.232,3973,30.239,57
18,19,52215,Robert MacIntyre,70.261,4087,58.408,59
19,8,51766,Wyndham Clark,70.264,3816,48.496,55
20,-1,37455,Si Woo Kim,70.277,5076,54.240,73
21,-6,46442,Maverick McNealy,70.283,4160,56.969,60
22,4,27644,Brian Harman,70.323,4677,34.611,67
23,-1,54591,Ben Griffin,70.327,5395,90.534,78
24,10,47679,Victor Perez,70.330,4051,28.163,58
25,-8,33448,Justin Thomas,70.331,3557,29.864,51
26,-5,35532,Tom Hoge,70.371,5066,71.116,73
27,5,30911,Tommy Fleetwood,70.385,3984,27.966,57
28,-5,40250,Taylor Pendrith,70.400,4126,27.593,59
29,-9,51997,Andrew Novak,70.412,4095,59.303,59
30,-5,34098,Russell Henley,70.435,3989,25.823,57
31,7,33653,Thomas Detry,70.452,4193,34.112,60
32,-2,47504,Sam Burns,70.469,3976,40.736,57
33,-2,33204,Shane Lowry,70.471,3861,14.925,55
34,-6,39327,Ben Silverman,70.483,4373,67.423,63
35,0,52375,Doug Ghim,70.492,3900,47.571,56
36,6,40006,Erik van Rooyen,70.512,4379,63.256,63
37,13,51977,Max Greyserman,70.533,3973,47.363,57
38,3,34587,Chan Kim,70.535,4163,69.077,60
39,-6,36801,Mark Hubbard,70.540,5088,61.452,73
40,-1,59143,Mac Meissner,70.554,3692,47.351,53
41,12,39971,Sungjae Im,70.558,4671,56.366,67
42,-13,47993,Denny McCarthy,70.580,4835,35.016,69
43,-3,29908,C.T. Pan,70.591,3010,25.431,43
44,-9,37378,Min Woo Lee,70.600,3786,26.405,54
45,-2,35450,Patrick Cantlay,70.604,3700,42.009,53
46,-2,27064,Jhonattan Vegas,70.619,2849,46.390,41
47,11,55182,Tom Kim,70.623,5176,50.114,74
48,0,55893,Sam Stevens,70.624,4731,71.445,68
49,16,32367,Jorge Campillo,70.626,3068,39.551,44
50,-4,57900,Chandler Phillips,70.646,3972,54.798,57
51,-2,33948,Byeong Hun An,70.664,4129,40.160,59
52,-8,45242,Kevin Yu,70.675,3832,55.103,55
53,-2,36799,Stephan Jaeger,70.687,4269,42.898,61
54,-2,35461,Beau Hossler,70.691,4258,54.161,61
55,16,34099,Harris English,70.743,4562,36.280,65
56,14,40098,Matt Fitzpatrick,70.746,4143,30.995,59
57,-1,49771,J.T. Poston,70.748,4691,49.101,67
58,15,57975,Harry Hall,70.749,4249,66.679,61
59,-4,39975,Michael Kim,70.782,4046,59.332,58
60,1,34046,Jordan Spieth,70.784,4208,39.060,60
61,0,24024,Zach Johnson,70.789,2651,38.998,38
62,-8,51287,Ryo Hisatsune,70.797,4329,60.418,62
63,0,33141,Keegan Bradley,70.798,4016,19.482,57
64,-17,52513,Carson Young,70.802,3906,58.902,56
65,-1,40162,Justin Lower,70.806,4693,51.033,67
66,-9,60004,Jacob Bridgeman,70.817,3481,59.828,50
67,18,48117,Kurt Kitayama,70.823,3991,45.914,57
68,-2,57366,Cameron Young,70.826,4570,33.713,65
69,12,35506,Mackenzie Hughes,70.832,4411,51.386,63
70,2,49960,Sepp Straka,70.833,4152,27.121,59
71,-2,28089,Jason Day,70.836,4258,63.014,61
