REMOVE1a,REMOVE1b,PLAYER_ID,PLAYER,3Putts_AVG,REMOVE1c,REMOVE1d
1,0,32070,Rafael Campos,.79,30,38
1,0,27649,Brandt Snedeker,.79,33,42
3,0,55454,Carl Yuan,.77,34,44
4,0,35310,Lanto Griffin,.75,33,44
5,1,51696,Rico Hoey,.73,35,48
5,1,34587,Chan Kim,.73,41,56
5,1,45242,Kevin Yu,.73,37,51
8,2,48699,Callum Tarren,.72,33,46
9,-5,48887,Matt Wallace,.71,37,52
10,1,38991,Alejandro Tosti,.70,33,47
11,1,34255,Joseph Bramlett,.69,36,52
11,1,36326,David Lipsky,.69,31,45
11,1,48319,Tom Whitney,.69,29,42
14,1,32367,Jorge Campillo,.67,32,48
14,2,29478,Kevin Kisner,.67,24,36
14,2,51070,Vincent Norrman,.67,30,45
17,1,27770,Camilo Villegas,.65,24,37
18,5,57366,Cameron Young,.64,44,69
19,0,59866,Nick Dunlap,.63,32,51
19,0,32757,Patton Kizzire,.63,24,38
19,0,39546,Keith Mitchell,.63,36,57
19,0,31323,Gary Woodland,.63,35,56
23,0,28775,Nate Lashley,.62,26,42
23,0,47483,Will Zalatoris,.62,32,52
25,4,28420,Ryan Brehm,.60,24,40
25,4,47988,Nick Hardy,.60,34,57
25,4,60067,Joe Highsmith,.60,24,40
25,2,52666,Sami Valimaki,.60,29,48
29,3,52453,Nicolai Højgaard,.58,32,55
29,4,23320,Ryan Palmer,.58,21,36
29,4,33486,Roger Sloan,.58,23,40
29,4,52374,Brandon Wu,.58,31,53
33,-6,33948,Byeong Hun An,.57,36,63
33,-10,33204,Shane Lowry,.57,32,56
33,3,37275,Sam Ryder,.57,29,51
33,3,50484,Hayden Springer,.57,25,44
33,3,50493,Justin Suh,.57,25,44
38,1,37212,Paul Barjon,.56,19,34
38,1,40162,Justin Lower,.56,35,63
38,1,47983,Chad Ramey,.56,27,48
38,1,48867,Matti Schmid,.56,27,48
38,1,51890,Greyson Sigg,.56,29,52
43,1,40026,Daniel Berger,.55,24,44
43,1,55708,Hayden Buckley,.55,28,51
43,1,34076,Joel Dahmen,.55,32,58
43,1,48153,Matthieu Pavon,.55,28,51
47,1,26596,Ryan Moore,.54,27,50
48,2,34213,Grayson Murray,.53,20,38
48,2,47347,Adam Schenk,.53,36,68
48,2,40115,Adam Svensson,.53,40,75
48,2,40006,Erik van Rooyen,.53,31,59
52,2,51349,Nico Echavarria,.52,30,58
52,-4,29725,Tony Finau,.52,33,63
52,2,12716,Charley Hoffman,.52,23,44
52,2,55182,Tom Kim,.52,38,73
52,6,32839,Hideki Matsuyama,.52,32,61
52,2,52513,Carson Young,.52,27,52
58,0,34374,Erik Barnes,.51,20,39
58,18,36799,Stephan Jaeger,.51,30,59
58,0,27129,Luke List,.51,27,53
58,10,51634,Sahith Theegala,.51,35,69
62,0,27936,Martin Laird,.50,22,44
62,0,32791,K.H. Lee,.50,23,46
62,0,46441,Robby Shelton,.50,26,52
62,0,46340,Alex Smalley,.50,22,44
62,0,27064,Jhonattan Vegas,.50,19,38
67,-9,39997,Corey Conners,.49,37,75
67,1,59095,Chris Gotterup,.49,25,51
67,20,35532,Tom Hoge,.49,36,73
