REMOVE2a,REMOVE2b,PLAYER_ID,PLAYER,Fairway%,REMOVE2c,REMOVE2d
1,1,49960,Sepp Straka,72.00%,635,882
2,-1,46414,Aaron Rai,71.64%,692,966
3,-1,50525,Collin Morikawa,71.54%,631,882
4,0,36884,Ben Kohles,71.04%,542,763
5,2,26596,Ryan Moore,69.62%,479,688
6,2,40026,Daniel Berger,69.51%,424,610
7,-1,30927,Brendon Todd,69.41%,726,1046
8,-3,30911,Tommy Fleetwood,69.37%,573,826
9,1,34098,Russell Henley,69.35%,595,858
10,1,52513,Carson Young,68.94%,495,718
11,-2,25900,Lucas Glover,68.91%,645,936
12,0,52375,Doug Ghim,68.77%,502,730
13,0,37455,Si Woo Kim,67.88%,691,1018
14,1,40058,Zac Blair,67.82%,472,696
15,2,36801,Mark Hubbard,67.57%,646,956
16,2,28775,Nate Lashley,67.35%,392,582
16,0,33204,Shane Lowry,67.35%,528,784
18,-4,57362,Austin Eckroat,66.97%,596,890
19,1,46046,Scottie Scheffler,66.71%,551,826
20,-1,49771,J.T. Poston,66.63%,609,914
21,0,30163,Henrik Norlander,66.60%,313,470
22,-1,26476,Chez Reavie,66.45%,404,608
23,1,32640,Troy Merritt,66.13%,496,750
24,1,45609,Tyler Duncan,66.01%,404,612
25,-2,34310,Alexander Björk,65.90%,344,522
26,-4,55182,Tom Kim,65.66%,671,1022
26,1,34256,Andrew Putnam,65.66%,524,798
28,-2,27644,Brian Harman,65.63%,651,992
29,1,56630,Akshay Bhatia,65.40%,620,948
30,-1,34076,Joel Dahmen,65.26%,526,806
31,5,27349,Alex Noren,65.13%,551,846
32,-2,55708,Hayden Buckley,65.11%,461,708
33,1,39997,Corey Conners,65.05%,683,1050
34,-2,23320,Ryan Palmer,65.04%,320,492
35,-2,54628,Lee Hodges,64.99%,607,934
36,-1,48319,Tom Whitney,64.83%,376,580
37,0,51890,Greyson Sigg,64.80%,464,716
38,0,23108,Matt Kuchar,64.70%,405,626
39,-11,24024,Zach Johnson,64.54%,324,502
40,0,51349,Nico Echavarria,64.48%,521,808
41,9,29420,Billy Horschel,64.22%,533,830
42,-1,40115,Adam Svensson,64.15%,671,1046
43,-1,34587,Chan Kim,64.12%,495,772
44,-5,34099,Harris English,64.08%,619,966
45,-2,39971,Sungjae Im,64.00%,599,936
46,-1,39327,Ben Silverman,63.98%,531,830
47,-1,37275,Sam Ryder,63.74%,450,706
48,-1,34213,Grayson Murray,63.72%,339,532
49,7,29908,C.T. Pan,63.42%,397,626
50,3,48153,Matthieu Pavon,63.34%,451,712
51,-7,40098,Matt Fitzpatrick,63.27%,558,882
52,-3,31646,Emiliano Grillo,63.17%,609,964
53,2,47983,Chad Ramey,63.14%,418,662
54,-3,30926,Chris Kirk,63.13%,524,830
55,2,52955,Ludvig Åberg,63.08%,521,826
56,2,34046,Jordan Spieth,62.83%,563,896
57,9,22405,Justin Rose,62.82%,485,772
58,1,33486,Roger Sloan,62.73%,345,550
59,1,32791,K.H. Lee,62.72%,397,633
60,-9,47504,Sam Burns,62.63%,501,800
61,-7,52666,Sami Valimaki,62.54%,414,662
62,0,51287,Ryo Hisatsune,62.41%,518,830
63,4,46717,Viktor Hovland,62.38%,393,630
64,-1,28252,Seamus Power,62.36%,565,906
65,0,32367,Jorge Campillo,62.31%,410,658
