REMOVE3a,REMOVE3b,PLAYER_ID,PLAYER,Driver_Distance_AVG,REMOVE3c,REMOVE3d
1,0,52372,Cameron Champ,319.9,21756,68
2,0,28237,Rory McIlroy,319.2,36394,114
3,0,47663,Kevin Dougherty,316.1,25288,80
4,1,33948,Byeong Hun An,314.3,39600,126
4,0,37378,Min Woo Lee,314.3,32687,104
6,0,59095,Chris Gotterup,313.3,31956,102
7,-1,51766,Wyndham Clark,312.9,33167,106
8,1,38991,Alejandro Tosti,312.2,29348,94
9,1,50484,Hayden Springer,311.7,27114,87
10,1,27064,Jhonattan Vegas,310.9,23632,76
11,0,51070,Vincent Norrman,310.7,27960,90
12,1,59836,Pierceson Coody,310.4,30727,99
13,-5,31323,Gary Woodland,310.1,34733,112
14,0,37212,Paul Barjon,310.0,21083,68
14,0,51977,Max Greyserman,310.0,32545,105
14,0,39546,Keith Mitchell,310.0,35338,114
17,0,55454,Carl Yuan,309.9,27270,88
18,1,40250,Taylor Pendrith,309.7,34686,112
18,1,45242,Kevin Yu,309.7,31590,102
20,1,34255,Joseph Bramlett,309.4,32174,104
20,1,51696,Rico Hoey,309.4,29700,96
22,1,47420,Jake Knapp,309.3,39594,128
23,-6,52453,Nicolai Højgaard,309.2,34011,110
24,2,48699,Callum Tarren,308.6,28389,92
25,0,36799,Stephan Jaeger,308.3,36375,118
26,1,54421,Garrick Higgo,308.2,31436,102
27,-4,29936,Ryan Fox,308.1,36969,120
28,-1,52955,Ludvig Åberg,308.0,36349,118
29,1,54576,Patrick Fishburn,307.9,23398,76
30,-1,29725,Tony Finau,307.3,38724,126
31,0,33448,Justin Thomas,307.2,31332,102
32,0,55893,Sam Stevens,307.1,39308,128
32,2,57366,Cameron Young,307.1,42386,138
34,-1,46113,Ryan McCormick,306.7,24537,80
35,-1,48117,Kurt Kitayama,306.1,37348,122
36,-2,34046,Jordan Spieth,306.0,39172,128
37,1,24502,Adam Scott,305.8,36079,118
38,-1,48081,Xander Schauffele,305.7,38512,126
39,1,36699,Patrick Rodgers,305.4,37873,124
40,1,28420,Ryan Brehm,305.3,24426,80
40,-1,47504,Sam Burns,305.3,34808,114
42,0,48867,Matti Schmid,305.2,28996,95
43,0,32070,Rafael Campos,305.1,22879,75
43,0,59866,Nick Dunlap,305.1,31125,102
45,0,35310,Lanto Griffin,305.0,26842,88
46,0,51600,Jimmy Stanger,304.9,21035,69
47,0,46340,Alex Smalley,304.8,26822,88
48,0,58168,Davis Thompson,304.2,42585,140
49,1,59442,Parker Coody,303.9,30089,99
50,-1,46442,Maverick McNealy,303.6,35825,118
51,0,34213,Grayson Murray,303.5,23064,76
52,1,49947,Taylor Moore,303.3,41861,138
52,1,27139,David Skinns,303.3,29118,96
54,2,60067,Joe Highsmith,303.1,23943,79
55,-3,52215,Robert MacIntyre,303.0,36365,120
56,1,51894,Vince Whaley,302.8,25134,83
57,3,33141,Keegan Bradley,302.7,35715,118
57,-2,51634,Sahith Theegala,302.7,41767,138
59,-1,50497,Adrien Dumont de Chassart,302.6,30255,100
60,-1,40006,Erik van Rooyen,302.5,35695,118
61,-1,12716,Charley Hoffman,302.4,26615,88
62,1,50188,S.H. Kim,302.2,44126,146
62,1,47995,Davis Riley,302.2,32032,106
64,1,34374,Erik Barnes,302.1,23260,77
65,2,33408,Tyson Alexander,302.0,29593,98
66,2,47988,Nick Hardy,301.7,34095,113
67,2,59143,Mac Meissner,301.6,30157,100
68,2,39975,Michael Kim,301.5,32265,107
68,2,27129,Luke List,301.5,31956,106
68,-3,33968,Thorbjørn Olesen,301.5,27741,92
71,1,34563,Chesson Hadley,301.4,26521,88
71,-9,46046,Scottie Scheffler,301.4,35561,118
73,2,33653,Thomas Detry,301.0,34317,114
74,0,46717,Viktor Hovland,300.8,27068,90
75,2,47679,Victor Perez,300.7,35785,119
76,2,52514,Trace Crowe,300.4,21930,73
76,2,32791,K.H. Lee,300.4,27633,92
78,3,32757,Patton Kizzire,300.2,22518,75
78,-3,47347,Adam Schenk,300.2,40831,136
80,2,45157,Cam Davis,300.1,36608,122
81,3,39977,Max Homa,299.9,38993,130
82,-10,28089,Jason Day,299.8,36581,122
82,2,48119,Ben Taylor,299.8,22786,76
82,2,47483,Will Zalatoris,299.8,31179,104
85,2,50493,Justin Suh,299.7,26370,88
86,3,51997,Andrew Novak,299.6,33552,112
87,-7,40098,Matt Fitzpatrick,299.4,37720,126
88,1,39997,Corey Conners,299.3,44889,150
89,3,29221,Webb Simpson,299.2,24533,82
90,-3,35450,Patrick Cantlay,299.1,31707,106
91,-8,34099,Harris English,299.0,41265,138
91,2,23320,Ryan Palmer,299.0,21528,72
93,1,56630,Akshay Bhatia,298.8,40638,136
94,-5,48887,Matt Wallace,298.4,31038,104
95,2,57975,Harry Hall,298.3,34599,116
95,-1,52666,Sami Valimaki,298.3,28640,96
97,2,34587,Chan Kim,298.2,33403,112
98,3,35461,Beau Hossler,298.1,33978,114
98,5,55182,Tom Kim,298.1,43517,146
100,1,57362,Austin Eckroat,298.0,38142,128
100,-3,30911,Tommy Fleetwood,298.0,35167,118
102,-3,32102,Rickie Fowler,297.7,38698,130
103,0,47591,Eric Cole,297.6,47026,158
103,5,48153,Matthieu Pavon,297.6,30353,102
105,-9,29420,Billy Horschel,297.5,35702,120
106,2,60004,Jacob Bridgeman,297.4,27363,92
106,2,39324,J.J. Spaun,297.4,29149,98
108,-5,33204,Shane Lowry,297.2,33284,112
108,4,32839,Hideki Matsuyama,297.2,36256,122
108,5,40115,Adam Svensson,297.2,44581,150
111,3,28252,Seamus Power,296.9,38599,130
112,3,48319,Tom Whitney,296.8,24934,84
113,3,55708,Hayden Buckley,296.7,30259,102
114,-7,35506,Mackenzie Hughes,296.6,39746,134
115,2,30926,Chris Kirk,296.5,34986,118
115,3,36871,Matt NeSmith,296.5,29350,99
117,-9,32367,Jorge Campillo,296.2,28141,95
117,-14,22405,Justin Rose,296.2,32583,110
119,0,33399,Adam Hadwin,296.0,34924,118
120,0,40162,Justin Lower,295.9,37282,126
121,0,40026,Daniel Berger,295.8,26034,88
121,0,39971,Sungjae Im,295.8,39636,134
121,0,34466,Peter Malnati,295.8,33717,114
124,0,51287,Ryo Hisatsune,295.5,35160,119
125,-1,52374,Brandon Wu,295.4,31022,105
126,0,54591,Ben Griffin,295.0,44842,152
127,0,52513,Carson Young,294.9,30673,104
128,0,33413,Ben Martin,294.5,24735,84
129,0,54628,Lee Hodges,294.4,39450,134
130,0,27214,Kevin Streelman,294.3,25012,85
131,0,24980,Scott Gutschewski,293.9,18808,64
132,3,37455,Si Woo Kim,293.8,42891,146
132,3,27349,Alex Noren,293.8,35845,122
