REMOVE6a,REMOVE6b,PLAYER_ID,PLAYER,GIR%,REMOVE6c,REMOVE6d,GIR_RELATIVE/PAR
1,0,46046,Scottie Scheffler,73.54%,781,1062,-0.36
2,0,27064,Jhonattan Vegas,72.81%,498,684,-0.29
3,1,32757,Patton Kizzire,72.22%,494,684,-0.30
4,1,45242,Kevin Yu,71.35%,655,918,-0.25
5,-2,46414,Aaron Rai,71.11%,896,1260,-0.28
6,1,35310,Lanto Griffin,70.96%,562,792,-0.27
6,1,39546,Keith Mitchell,70.96%,728,1026,-0.31
8,1,34076,Joel Dahmen,70.59%,737,1044,-0.25
9,1,54576,Patrick Fishburn,70.32%,481,684,-0.25
10,-4,39997,Corey Conners,70.22%,948,1350,-0.30
11,0,48081,Xander Schauffele,70.19%,796,1134,-0.33
12,1,40006,Erik van Rooyen,69.77%,741,1062,-0.32
13,1,27139,David Skinns,69.68%,602,864,-0.28
14,1,51890,Greyson Sigg,69.55%,651,936,-0.21
15,1,52375,Doug Ghim,69.50%,663,954,-0.27
16,0,30163,Henrik Norlander,69.44%,425,612,-0.30
17,1,51997,Andrew Novak,69.35%,699,1008,-0.31
18,3,40026,Daniel Berger,69.19%,548,792,-0.24
19,-7,51287,Ryo Hisatsune,69.07%,746,1080,-0.26
20,2,34587,Chan Kim,69.05%,696,1008,-0.30
21,2,39975,Michael Kim,69.03%,671,972,-0.30
22,-5,52955,Ludvig Åberg,69.02%,733,1062,-0.32
23,4,39327,Ben Silverman,68.89%,744,1080,-0.27
24,5,55893,Sam Stevens,68.84%,793,1152,-0.28
25,5,47663,Kevin Dougherty,68.75%,495,720,-0.28
26,-3,29725,Tony Finau,68.69%,779,1134,-0.30
27,4,36871,Matt NeSmith,68.67%,618,900,-0.24
28,4,36699,Patrick Rodgers,68.64%,766,1116,-0.29
29,-3,27349,Alex Noren,68.58%,753,1098,-0.27
30,4,47988,Nick Hardy,68.52%,703,1026,-0.27
30,4,51696,Rico Hoey,68.52%,592,864,-0.31
32,-12,48887,Matt Wallace,68.48%,641,936,-0.28
33,3,32070,Rafael Campos,68.42%,468,684,-0.27
34,-6,51070,Vincent Norrman,68.27%,553,810,-0.19
35,3,40162,Justin Lower,68.25%,774,1134,-0.26
36,4,51349,Nico Echavarria,68.20%,712,1044,-0.29
37,-4,47679,Victor Perez,68.15%,736,1080,-0.28
38,-19,58168,Davis Thompson,68.10%,858,1260,-0.31
39,-14,33948,Byeong Hun An,67.99%,771,1134,-0.33
40,3,39324,J.J. Spaun,67.91%,599,882,-0.28
41,0,49960,Sepp Straka,67.90%,770,1134,-0.26
42,2,26596,Ryan Moore,67.89%,611,900,-0.24
43,2,48319,Tom Whitney,67.86%,513,756,-0.24
44,2,34255,Joseph Bramlett,67.84%,635,936,-0.26
44,2,52513,Carson Young,67.84%,635,936,-0.29
46,2,54591,Ben Griffin,67.69%,926,1368,-0.30
47,2,26476,Chez Reavie,67.68%,536,792,-0.25
48,-11,51634,Sahith Theegala,67.63%,840,1242,-0.30
49,2,59143,Mac Meissner,67.56%,608,900,-0.30
50,2,27936,Martin Laird,67.55%,535,792,-0.25
51,-9,35532,Tom Hoge,67.50%,887,1314,-0.33
52,-13,46717,Viktor Hovland,67.41%,546,810,-0.33
52,2,36326,David Lipsky,67.41%,546,810,-0.24
54,1,33486,Roger Sloan,67.08%,483,720,-0.26
54,1,54783,Dylan Wu,67.08%,652,972,-0.31
56,1,36884,Ben Kohles,67.07%,664,990,-0.25
57,12,33204,Shane Lowry,66.96%,675,1008,-0.29
58,2,33413,Ben Martin,66.93%,506,756,-0.27
59,3,50484,Hayden Springer,66.92%,530,792,-0.32
60,0,29908,C.T. Pan,66.91%,542,810,-0.26
61,2,37275,Sam Ryder,66.88%,614,918,-0.32
62,4,46113,Ryan McCormick,66.81%,481,720,-0.31
63,4,28775,Nate Lashley,66.80%,505,756,-0.27
64,4,46340,Alex Smalley,66.79%,529,792,-0.28
65,7,59836,Pierceson Coody,66.67%,600,900,-0.33
65,7,48867,Matti Schmid,66.67%,576,864,-0.30
67,10,45609,Tyler Duncan,66.54%,527,792,-0.24
68,-15,24024,Zach Johnson,66.51%,431,648,-0.25
69,9,35461,Beau Hossler,66.47%,682,1026,-0.30
70,10,51977,Max Greyserman,66.46%,634,954,-0.30
71,-6,57366,Cameron Young,66.43%,825,1242,-0.31
72,-22,52215,Robert MacIntyre,66.39%,717,1080,-0.30
73,10,27129,Luke List,66.35%,633,954,-0.30
74,-4,30911,Tommy Fleetwood,66.29%,704,1062,-0.28
74,6,24502,Adam Scott,66.29%,704,1062,-0.30
76,8,36801,Mark Hubbard,66.26%,823,1242,-0.31
77,9,28252,Seamus Power,66.24%,775,1170,-0.27
