REMOVE7a,REMOVE7b,PLAYER_ID,PLAYER,Putts_Overall_AVG,REMOVE7c,REMOVE7d
1,0,47993,Denny McCarthy,1.536,1963,1278
2,0,55789,Taylor Montgomery,1.541,1082,702
3,0,45522,Christiaan Bezuidenhout,1.544,1668,1080
4,0,22371,Aaron Baddeley,1.546,1336,864
4,0,50188,S.H. Kim,1.546,2032,1314
6,0,28089,Jason Day,1.551,1703,1098
6,2,35506,Mackenzie Hughes,1.551,1871,1206
8,-1,50525,Collin Morikawa,1.554,1762,1134
9,1,46442,Maverick McNealy,1.555,1651,1062
10,-2,34098,Russell Henley,1.556,1708,1098
11,3,57975,Harry Hall,1.560,1629,1044
11,3,57900,Chandler Phillips,1.560,1488,954
13,-2,47504,Sam Burns,1.561,1602,1026
14,-3,47591,Eric Cole,1.562,2221,1422
15,-4,35450,Patrick Cantlay,1.564,1492,954
16,0,33653,Thomas Detry,1.567,1608,1026
16,0,46441,Robby Shelton,1.567,1467,936
18,4,39971,Sungjae Im,1.569,1892,1206
19,-1,52514,Trace Crowe,1.572,1047,666
20,1,23108,Matt Kuchar,1.574,1275,810
21,-3,27644,Brian Harman,1.577,2015,1278
21,2,40250,Taylor Pendrith,1.577,1590,1008
21,-1,30927,Brendon Todd,1.577,2129,1350
24,-1,40098,Matt Fitzpatrick,1.578,1790,1134
25,3,28237,Rory McIlroy,1.579,1620,1026
25,4,48081,Xander Schauffele,1.579,1791,1134
27,-4,34310,Alexander Björk,1.580,1081,684
27,3,60004,Jacob Bridgeman,1.580,1308,828
29,1,51766,Wyndham Clark,1.581,1508,954
29,13,34099,Harris English,1.581,1964,1242
29,1,22405,Justin Rose,1.581,1565,990
29,-6,46046,Scottie Scheffler,1.581,1679,1062
33,1,34256,Andrew Putnam,1.582,1623,1026
34,-11,33399,Adam Hadwin,1.583,1681,1062
34,8,29420,Billy Horschel,1.583,1710,1080
34,3,34466,Peter Malnati,1.583,1624,1026
34,3,34213,Grayson Murray,1.583,1083,684
38,3,59836,Pierceson Coody,1.584,1426,900
39,-2,49771,J.T. Poston,1.585,1855,1170
40,6,33408,Tyson Alexander,1.586,1399,882
40,6,51894,Vince Whaley,1.586,1199,756
42,-5,56630,Akshay Bhatia,1.588,1944,1224
42,-9,54591,Ben Griffin,1.588,2172,1368
42,7,37455,Si Woo Kim,1.588,2087,1314
42,6,29221,Webb Simpson,1.588,1172,738
46,5,39977,Max Homa,1.589,1859,1170
46,6,34046,Jordan Spieth,1.589,1830,1152
48,-14,35532,Tom Hoge,1.590,2089,1314
48,-6,25493,Nick Taylor,1.590,1746,1098
50,2,36801,Mark Hubbard,1.591,1976,1242
50,2,50484,Hayden Springer,1.591,1260,792
52,3,35461,Beau Hossler,1.592,1633,1026
52,-18,32839,Hideki Matsuyama,1.592,1748,1098
54,2,40058,Zac Blair,1.594,1435,900
54,2,51977,Max Greyserman,1.594,1521,954
54,-12,46717,Viktor Hovland,1.594,1291,810
57,-8,30926,Chris Kirk,1.595,1694,1062
57,0,30163,Henrik Norlander,1.595,976,612
57,2,54783,Dylan Wu,1.595,1550,972
60,1,24502,Adam Scott,1.596,1695,1062
60,1,33448,Justin Thomas,1.596,1465,918
60,3,58168,Davis Thompson,1.596,2011,1260
63,0,32791,K.H. Lee,1.597,1322,828
63,13,52215,Robert MacIntyre,1.597,1725,1080
63,0,39327,Ben Silverman,1.597,1725,1080
63,-4,57366,Cameron Young,1.597,1984,1242
67,0,59866,Nick Dunlap,1.598,1467,918
67,0,32640,Troy Merritt,1.598,1553,972
67,0,55454,Carl Yuan,1.598,1266,792
