REMOVE10a,REMOVE10b,PLAYER_ID,PLAYER,Par5_AVG,REMOVE10c,REMOVE10d
1,0,46046,Scottie Scheffler,4.44,905,204
2,3,59866,Nick Dunlap,4.46,812,182
2,0,29725,Tony Finau,4.46,990,222
4,2,35461,Beau Hossler,4.47,886,198
5,-2,35450,Patrick Cantlay,4.48,860,192
5,2,51696,Rico Hoey,4.48,798,178
5,2,36801,Mark Hubbard,4.48,1049,234
5,-2,35506,Mackenzie Hughes,4.48,976,218
5,2,39546,Keith Mitchell,4.48,888,198
10,3,51600,Jimmy Stanger,4.49,624,139
10,3,27064,Jhonattan Vegas,4.49,620,138
10,-3,48887,Matt Wallace,4.49,800,178
13,3,52372,Cameron Champ,4.50,576,128
13,3,47663,Kevin Dougherty,4.50,684,152
13,3,54576,Patrick Fishburn,4.50,666,148
13,3,34587,Chan Kim,4.50,945,210
13,0,30163,Henrik Norlander,4.50,531,118
13,-6,48081,Xander Schauffele,4.50,1026,228
13,3,48699,Callum Tarren,4.50,747,166
20,1,52375,Doug Ghim,4.51,847,188
20,1,50188,S.H. Kim,4.51,1118,248
20,1,50484,Hayden Springer,4.51,766,170
20,-13,58168,Davis Thompson,4.51,1073,238
20,1,45242,Kevin Yu,4.51,811,180
25,4,37212,Paul Barjon,4.52,596,132
25,-12,47504,Sam Burns,4.52,894,198
25,4,35310,Lanto Griffin,4.52,733,162
25,4,57975,Harry Hall,4.52,923,204
25,4,29420,Billy Horschel,4.52,876,194
25,4,36799,Stephan Jaeger,4.52,923,204
25,-4,37378,Min Woo Lee,4.52,841,186
25,4,59143,Mac Meissner,4.52,796,176
25,4,55893,Sam Stevens,4.52,1022,226
25,4,48319,Tom Whitney,4.52,723,160
35,9,60004,Jacob Bridgeman,4.53,780,172
35,-6,28089,Jason Day,4.53,987,218
35,9,51977,Max Greyserman,4.53,842,186
35,9,34563,Chesson Hadley,4.53,715,158
35,-14,35532,Tom Hoge,4.53,1114,246
35,-14,37455,Si Woo Kim,4.53,1097,242
35,9,34213,Grayson Murray,4.53,625,138
35,9,40006,Erik van Rooyen,4.53,952,210
43,11,33948,Byeong Hun An,4.54,936,206
43,11,40026,Daniel Berger,4.54,690,152
43,-14,56630,Akshay Bhatia,4.54,1036,228
43,1,54591,Ben Griffin,4.54,1177,259
43,11,60067,Joe Highsmith,4.54,709,156
43,11,40250,Taylor Pendrith,4.54,853,188
43,11,28252,Seamus Power,4.54,954,210
43,-14,33448,Justin Thomas,4.54,826,182
43,11,52374,Brandon Wu,4.54,835,184
43,11,52513,Carson Young,4.54,844,186
53,-24,51766,Wyndham Clark,4.55,846,186
53,11,45157,Cam Davis,4.55,938,206
53,11,12716,Charley Hoffman,4.55,700,154
53,11,39975,Michael Kim,4.55,892,196
53,11,46113,Ryan McCormick,4.55,710,156
53,11,46442,Maverick McNealy,4.55,929,204
53,-24,50525,Collin Morikawa,4.55,929,204
53,11,23320,Ryan Palmer,4.55,582,128
53,1,47679,Victor Perez,4.55,865,190
53,-24,51634,Sahith Theegala,4.55,1011,222
63,-9,52955,Ludvig Åberg,4.56,894,196
63,1,39997,Corey Conners,4.56,1076,236
63,-34,40098,Matt Fitzpatrick,4.56,930,204
63,9,32791,K.H. Lee,4.56,738,162
63,-42,52215,Robert MacIntyre,4.56,884,194
63,-19,28237,Rory McIlroy,4.56,849,186
63,-19,46414,Aaron Rai,4.56,1066,234
63,9,54783,Dylan Wu,4.56,885,194
71,8,59442,Parker Coody,4.57,813,178
71,8,45609,Tyler Duncan,4.57,731,160
71,-27,46717,Viktor Hovland,4.57,685,150
71,15,48117,Kurt Kitayama,4.57,878,192
71,8,32757,Patton Kizzire,4.57,622,136
71,-27,27349,Alex Noren,4.57,968,212
71,-17,24502,Adam Scott,4.57,814,178
71,1,57366,Cameron Young,4.57,1041,228
79,7,34255,Joseph Bramlett,4.58,815,178
79,7,33653,Thomas Detry,4.58,879,192
79,7,47420,Jake Knapp,4.58,1008,220
79,7,27129,Luke List,4.58,806,176
79,-7,32839,Hideki Matsuyama,4.58,926,202
79,-7,49771,J.T. Poston,4.58,998,218
79,7,47995,Davis Riley,4.58,843,184
79,7,36699,Patrick Rodgers,4.58,934,204
79,7,37275,Sam Ryder,4.58,871,190
79,7,39324,J.J. Spaun,4.58,760,166
79,-7,47483,Will Zalatoris,4.58,842,184
90,-26,33141,Keegan Bradley,4.59,862,188
90,7,55708,Hayden Buckley,4.59,827,180
90,-11,32367,Jorge Campillo,4.59,716,156
90,7,32070,Rafael Campos,4.59,615,134
90,7,59836,Pierceson Coody,4.59,807,176
90,-11,57362,Austin Eckroat,4.59,1009,220
90,7,47988,Nick Hardy,4.59,863,188
90,-11,39971,Sungjae Im,4.59,1064,232
90,-18,55182,Tom Kim,4.59,1092,238
90,7,33204,Shane Lowry,4.59,862,188
90,7,51997,Andrew Novak,4.59,881,192
101,5,54421,Garrick Higgo,4.60,819,178
101,5,36326,David Lipsky,4.60,736,160
101,5,32640,Troy Merritt,4.60,883,192
101,-4,49947,Taylor Moore,4.60,1067,232
101,-22,33968,Thorbjørn Olesen,4.60,690,150
101,-15,47347,Adam Schenk,4.60,1112,242
101,5,48867,Matti Schmid,4.60,818,178
101,5,39327,Ben Silverman,4.60,965,210
109,-12,47591,Eric Cole,4.61,1253,272
109,2,34076,Joel Dahmen,4.61,922,200
109,2,51349,Nico Echavarria,4.61,949,206
109,2,59095,Chris Gotterup,4.61,830,180
109,2,57900,Chandler Phillips,4.61,843,183
109,2,27139,David Skinns,4.61,783,170
109,2,27214,Kevin Streelman,4.61,700,152
109,2,50493,Justin Suh,4.61,729,158
117,3,28775,Nate Lashley,4.62,702,152
117,3,22405,Justin Rose,4.62,785,170
119,7,33408,Tyson Alexander,4.63,805,174
119,7,22371,Aaron Baddeley,4.63,851,184
119,7,50497,Adrien Dumont de Chassart,4.63,824,178
119,-22,34099,Harris English,4.63,1018,220
119,-8,33399,Adam Hadwin,4.63,962,208
119,1,34098,Russell Henley,4.63,907,196
119,7,40162,Justin Lower,4.63,1019,220
119,7,33413,Ben Martin,4.63,732,158
119,7,36871,Matt NeSmith,4.63,825,178
119,7,26476,Chez Reavie,4.63,759,164
119,7,51890,Greyson Sigg,4.63,842,182
119,7,29221,Webb Simpson,4.63,593,128
119,1,25493,Nick Taylor,4.63,963,208
119,7,55454,Carl Yuan,4.63,746,161
133,-7,45522,Christiaan Bezuidenhout,4.64,970,209
133,12,40058,Zac Blair,4.64,788,170
133,-7,32102,Rickie Fowler,4.64,1039,224
133,12,51287,Ryo Hisatsune,4.64,994,214
133,12,54628,Lee Hodges,4.64,1096,236
133,-13,39977,Max Homa,4.64,1011,218
133,-22,30926,Chris Kirk,4.64,946,204
133,-13,47993,Denny McCarthy,4.64,1040,224
133,12,26596,Ryan Moore,4.64,826,178
133,12,46441,Robby Shelton,4.64,844,182
133,12,33486,Roger Sloan,4.64,715,154
133,-7,34046,Jordan Spieth,4.64,942,203
133,12,40115,Adam Svensson,4.64,1076,232
133,12,51894,Vince Whaley,4.64,752,162
147,-21,34310,Alexander Björk,4.65,660,142
147,-2,30911,Tommy Fleetwood,4.65,883,190
147,7,48119,Ben Taylor,4.65,642,138
147,-21,30927,Brendon Todd,4.65,1088,234
147,-21,52666,Sami Valimaki,4.65,781,168
147,-21,31323,Gary Woodland,4.65,782,168
153,3,52514,Trace Crowe,4.66,653,140
153,1,31646,Emiliano Grillo,4.66,1025,220
153,3,46340,Alex Smalley,4.66,783,168
156,4,28420,Ryan Brehm,4.67,701,150
156,-30,29936,Ryan Fox,4.67,868,186
156,-30,27644,Brian Harman,4.67,1045,224
159,2,36884,Ben Kohles,4.68,899,192
159,2,51070,Vincent Norrman,4.68,669,143
161,3,34374,Erik Barnes,4.69,685,146
161,3,27936,Martin Laird,4.69,713,152
161,3,55789,Taylor Montgomery,4.69,689,147
161,-5,48153,Matthieu Pavon,4.69,825,176
161,3,38991,Alejandro Tosti,4.69,760,162
166,-10,29908,C.T. Pan,4.70,672,143
166,3,34256,Andrew Putnam,4.70,949,202
166,3,47983,Chad Ramey,4.70,809,172
169,0,25900,Lucas Glover,4.71,1018,216
169,-8,24024,Zach Johnson,4.71,593,126
169,3,27649,Brandt Snedeker,4.71,726,154
169,-5,49960,Sepp Straka,4.71,961,204
173,0,52453,Nicolai Højgaard,4.73,871,184
174,0,24980,Scott Gutschewski,4.74,588,124
175,-1,23108,Matt Kuchar,4.76,733,154
176,-1,29478,Kevin Kisner,4.78,602,126
176,-1,34466,Peter Malnati,4.78,927,194
178,-1,27770,Camilo Villegas,4.79,670,140
