REMOVE11a,REMOVE11b,PLAYER_ID,PLAYER,Putting_AVG,REMOVE11c,REMOVE11d,Putting_Birdie_Conversions
1,0,46046,Scottie Scheffler,1.690,1320,781,36.39%
2,0,51766,Wyndham Clark,1.702,1062,624,36.76%
3,2,47993,Denny McCarthy,1.710,1332,779,32.90%
4,-2,50525,Collin Morikawa,1.711,1268,741,34.86%
5,1,45522,Christiaan Bezuidenhout,1.713,1146,669,32.08%
6,-2,46717,Viktor Hovland,1.714,936,546,33.94%
6,1,34046,Jordan Spieth,1.714,1304,761,33.86%
8,2,47504,Sam Burns,1.716,1129,658,34.66%
9,3,40250,Taylor Pendrith,1.721,1136,660,33.13%
10,-2,28089,Jason Day,1.722,1200,697,33.43%
11,-1,34098,Russell Henley,1.724,1224,710,31.41%
11,4,35506,Mackenzie Hughes,1.724,1279,742,33.38%
11,3,50188,S.H. Kim,1.724,1383,802,36.17%
14,-5,35532,Tom Hoge,1.725,1530,887,35.17%
14,1,37275,Sam Ryder,1.725,1059,614,35.02%
14,3,48081,Xander Schauffele,1.725,1373,796,32.87%
17,2,57975,Harry Hall,1.727,1181,684,34.26%
18,-5,40098,Matt Fitzpatrick,1.728,1263,731,33.15%
18,3,58168,Davis Thompson,1.728,1483,858,32.55%
20,1,33653,Thomas Detry,1.729,1136,657,34.35%
20,1,59866,Nick Dunlap,1.729,996,576,35.14%
20,1,57900,Chandler Phillips,1.729,1041,602,33.28%
23,2,22371,Aaron Baddeley,1.730,929,537,30.28%
23,2,59836,Pierceson Coody,1.730,1038,600,33.95%
23,2,52514,Trace Crowe,1.730,737,426,35.38%
26,-9,47591,Eric Cole,1.731,1501,867,34.10%
26,-7,27644,Brian Harman,1.731,1445,835,32.22%
26,2,49771,J.T. Poston,1.731,1310,757,33.69%
29,2,51997,Andrew Novak,1.732,1211,699,32.18%
30,2,33408,Tyson Alexander,1.733,948,547,34.55%
30,2,39975,Michael Kim,1.733,1163,671,32.63%
30,2,55789,Taylor Montgomery,1.733,735,424,33.73%
33,8,33948,Byeong Hun An,1.735,1338,771,35.41%
33,-1,46442,Maverick McNealy,1.735,1199,691,34.06%
33,-5,30927,Brendon Todd,1.735,1492,860,30.97%
36,-8,56630,Akshay Bhatia,1.736,1406,810,32.67%
36,1,46441,Robby Shelton,1.736,1028,592,32.09%
38,2,40006,Erik van Rooyen,1.737,1287,741,33.11%
39,2,60004,Jacob Bridgeman,1.738,949,546,33.15%
39,8,39971,Sungjae Im,1.738,1349,776,34.45%
41,-5,28237,Rory McIlroy,1.739,1177,677,34.57%
42,2,50484,Hayden Springer,1.740,922,530,34.22%
43,2,54783,Dylan Wu,1.741,1135,652,33.23%
44,-7,33399,Adam Hadwin,1.742,1183,679,32.60%
45,5,32640,Troy Merritt,1.744,1118,641,32.76%
45,5,51894,Vince Whaley,1.744,832,477,31.51%
47,8,34213,Grayson Murray,1.745,745,427,34.66%
48,8,51977,Max Greyserman,1.746,1107,634,32.49%
48,8,36801,Mark Hubbard,1.746,1437,823,31.87%
48,8,46113,Ryan McCormick,1.746,840,481,33.68%
48,15,33448,Justin Thomas,1.746,1039,595,32.72%
52,-7,54591,Ben Griffin,1.747,1618,926,31.14%
52,-2,55182,Tom Kim,1.747,1518,869,33.53%
52,-15,30926,Chris Kirk,1.747,1195,684,31.33%
52,11,33968,Thorbjørn Olesen,1.747,917,525,32.95%
56,-8,33141,Keegan Bradley,1.748,1229,703,32.29%
56,3,51634,Sahith Theegala,1.748,1468,840,32.89%
58,-10,52955,Ludvig Åberg,1.749,1282,733,33.06%
58,-15,35450,Patrick Cantlay,1.749,1053,602,33.72%
58,1,34099,Harris English,1.749,1394,797,31.49%
58,-8,29936,Ryan Fox,1.749,1207,690,31.64%
58,1,36799,Stephan Jaeger,1.749,1207,690,32.90%
63,0,51349,Nico Echavarria,1.750,1246,712,31.03%
63,6,33204,Shane Lowry,1.750,1181,675,32.24%
63,-1,24502,Adam Scott,1.750,1232,704,31.34%
63,-13,57366,Cameron Young,1.750,1444,825,33.58%
67,0,35461,Beau Hossler,1.751,1194,682,31.81%
67,0,30163,Henrik Norlander,1.751,744,425,31.91%
69,0,47420,Jake Knapp,1.752,1326,757,33.60%
69,0,34466,Peter Malnati,1.752,1093,624,30.34%
69,0,59143,Mac Meissner,1.752,1065,608,31.85%
72,1,37455,Si Woo Kim,1.753,1513,863,31.51%
72,1,34256,Andrew Putnam,1.753,1190,679,29.31%
74,9,52666,Sami Valimaki,1.754,996,568,31.98%
75,0,36699,Patrick Rodgers,1.755,1344,766,31.24%
75,0,39327,Ben Silverman,1.755,1306,744,29.11%
77,1,40058,Zac Blair,1.756,1008,574,29.20%
77,6,39997,Corey Conners,1.756,1665,948,32.00%
77,-10,31646,Emiliano Grillo,1.756,1415,806,29.51%
77,1,54421,Garrick Higgo,1.756,1052,599,30.76%
77,1,27139,David Skinns,1.756,1057,602,30.45%
82,-19,57362,Austin Eckroat,1.757,1293,736,29.97%
82,-7,25900,Lucas Glover,1.757,1402,798,30.58%
82,1,12716,Charley Hoffman,1.757,896,510,33.53%
82,20,29420,Billy Horschel,1.757,1246,709,30.93%
82,1,32757,Patton Kizzire,1.757,868,494,32.32%
82,1,23108,Matt Kuchar,1.757,847,482,26.04%
88,0,51696,Rico Hoey,1.758,1041,592,32.31%
88,-10,22405,Justin Rose,1.758,1090,620,31.29%
88,0,27214,Kevin Streelman,1.758,900,512,30.98%
91,0,34587,Chan Kim,1.759,1224,696,33.19%
91,7,52215,Robert MacIntyre,1.759,1261,717,31.52%
91,0,47995,Davis Riley,1.759,1080,614,32.46%
91,0,48867,Matti Schmid,1.759,1013,576,32.06%
91,0,52513,Carson Young,1.759,1117,635,31.55%
96,-5,37378,Min Woo Lee,1.760,1051,597,31.09%
96,1,47983,Chad Ramey,1.760,989,562,31.67%
98,-7,29725,Tony Finau,1.761,1372,779,31.87%
99,0,40162,Justin Lower,1.762,1364,774,30.62%
99,6,49947,Taylor Moore,1.762,1424,808,29.69%
99,0,55893,Sam Stevens,1.762,1397,793,30.51%
99,-21,25493,Nick Taylor,1.762,1214,689,30.28%
103,-1,34310,Alexander Björk,1.765,727,412,27.43%
103,2,32791,K.H. Lee,1.765,939,532,29.94%
103,2,33413,Ben Martin,1.765,893,506,28.46%
106,2,38991,Alejandro Tosti,1.767,972,550,33.46%
106,2,27064,Jhonattan Vegas,1.767,880,498,30.32%
106,2,52374,Brandon Wu,1.767,1115,631,31.64%
109,5,50497,Adrien Dumont de Chassart,1.769,1047,592,30.00%
109,5,60067,Joe Highsmith,1.769,842,476,31.08%
109,11,39977,Max Homa,1.769,1309,740,31.17%
109,-7,46414,Aaron Rai,1.769,1585,896,30.28%
109,5,50493,Justin Suh,1.769,904,511,31.04%
114,-6,47679,Victor Perez,1.770,1303,736,28.10%
115,-1,30911,Tommy Fleetwood,1.771,1247,704,30.16%
115,-3,51287,Ryo Hisatsune,1.771,1321,746,28.72%
