REMOVE12a,REMOVE12b,PLAYER_ID,PLAYER,Total_Putts_AVG,REMOVE12c,REMOVE12d,REMOVE12e
1,0,47993,Denny McCarthy,27.65,1963,71,21
2,0,55789,Taylor Montgomery,27.74,1082,39,23
3,0,45522,Christiaan Bezuidenhout,27.80,1668,60,20
4,0,22371,Aaron Baddeley,27.83,1336,48,24
5,0,50188,S.H. Kim,27.84,2032,73,21
6,-1,28089,Jason Day,27.92,1703,61,22
7,2,35506,Mackenzie Hughes,27.93,1871,67,21
8,-1,50525,Collin Morikawa,27.97,1762,63,21
9,1,46442,Maverick McNealy,27.98,1651,59,22
10,-2,34098,Russell Henley,28.00,1708,61,22
11,3,57900,Chandler Phillips,28.08,1488,53,24
12,3,57975,Harry Hall,28.09,1629,58,20
13,-2,47504,Sam Burns,28.11,1602,57,21
13,0,47591,Eric Cole,28.11,2221,79,21
15,-4,35450,Patrick Cantlay,28.15,1492,53,22
16,0,33653,Thomas Detry,28.21,1608,57,23
16,0,46441,Robby Shelton,28.21,1467,52,23
18,4,39971,Sungjae Im,28.24,1892,67,22
19,-1,52514,Trace Crowe,28.30,1047,37,23
20,1,23108,Matt Kuchar,28.33,1275,45,23
21,-3,27644,Brian Harman,28.38,2015,71,22
22,2,40250,Taylor Pendrith,28.39,1590,56,23
22,-2,30927,Brendon Todd,28.39,2129,75,20
24,0,40098,Matt Fitzpatrick,28.41,1790,63,23
25,3,28237,Rory McIlroy,28.42,1620,57,23
26,4,60004,Jacob Bridgeman,28.43,1308,46,23
26,3,48081,Xander Schauffele,28.43,1791,63,23
28,-4,34310,Alexander Björk,28.45,1081,38,25
28,2,51766,Wyndham Clark,28.45,1508,53,23
28,2,22405,Justin Rose,28.45,1565,55,21
31,13,34099,Harris English,28.46,1964,69,23
31,-8,46046,Scottie Scheffler,28.46,1679,59,24
33,1,34256,Andrew Putnam,28.47,1623,57,23
34,-10,33399,Adam Hadwin,28.49,1681,59,23
34,3,34466,Peter Malnati,28.49,1624,57,24
36,8,29420,Billy Horschel,28.50,1710,60,23
36,3,34213,Grayson Murray,28.50,1083,38,22
38,3,59836,Pierceson Coody,28.52,1426,50,20
39,-2,49771,J.T. Poston,28.54,1855,65,21
40,6,33408,Tyson Alexander,28.55,1399,49,23
40,6,51894,Vince Whaley,28.55,1199,42,20
42,-9,54591,Ben Griffin,28.58,2172,76,23
43,-4,56630,Akshay Bhatia,28.59,1944,68,21
43,5,37455,Si Woo Kim,28.59,2087,73,24
43,5,29221,Webb Simpson,28.59,1172,41,24
43,9,34046,Jordan Spieth,28.59,1830,64,23
47,4,39977,Max Homa,28.60,1859,65,23
48,-12,35532,Tom Hoge,28.62,2089,73,22
48,-6,25493,Nick Taylor,28.62,1746,61,22
50,3,36801,Mark Hubbard,28.64,1976,69,23
50,3,50484,Hayden Springer,28.64,1260,44,21
52,3,35461,Beau Hossler,28.65,1633,57,19
53,-19,32839,Hideki Matsuyama,28.66,1748,61,22
54,-12,46717,Viktor Hovland,28.69,1291,45,24
55,2,40058,Zac Blair,28.70,1435,50,24
55,2,51977,Max Greyserman,28.70,1521,53,24
55,2,54783,Dylan Wu,28.70,1550,54,21
58,-8,30926,Chris Kirk,28.71,1694,59,24
58,0,30163,Henrik Norlander,28.71,976,34,23
60,2,24502,Adam Scott,28.73,1695,59,24
60,1,33448,Justin Thomas,28.73,1465,51,23
60,3,58168,Davis Thompson,28.73,2011,70,19
63,0,32791,K.H. Lee,28.74,1322,46,22
64,14,52215,Robert MacIntyre,28.75,1725,60,24
64,1,39327,Ben Silverman,28.75,1725,60,23
64,-4,57366,Cameron Young,28.75,1984,69,24
67,0,59866,Nick Dunlap,28.76,1467,51,21
67,0,32640,Troy Merritt,28.76,1553,54,23
69,0,55454,Carl Yuan,28.77,1266,44,22
70,-5,36799,Stephan Jaeger,28.78,1698,59,25
71,-1,51997,Andrew Novak,28.79,1612,56,25
72,-16,52955,Ludvig Åberg,28.80,1699,59,23
72,2,46113,Ryan McCormick,28.80,1152,40,22
72,12,49947,Taylor Moore,28.80,1987,69,23
75,1,39975,Michael Kim,28.81,1556,54,24
75,1,47995,Davis Riley,28.81,1527,53,24
75,-5,51634,Sahith Theegala,28.81,1988,69,24
78,16,33948,Byeong Hun An,28.83,1816,63,24
79,-9,55182,Tom Kim,28.84,2105,73,23
80,0,47983,Chad Ramey,28.85,1385,48,23
81,0,12716,Charley Hoffman,28.86,1270,44,25
81,0,55893,Sam Stevens,28.86,1847,64,22
83,-13,47347,Adam Schenk,28.87,1963,68,24
84,1,28775,Nate Lashley,28.88,1213,42,24
84,1,33413,Ben Martin,28.88,1213,42,22
84,1,28252,Seamus Power,28.88,1877,65,22
87,-13,32102,Rickie Fowler,28.89,1878,65,24
87,-6,33968,Thorbjørn Olesen,28.89,1329,46,23
87,1,48119,Ben Taylor,28.89,1098,38,24
90,-1,34374,Erik Barnes,28.90,1127,39,23
90,-12,30911,Tommy Fleetwood,28.90,1705,59,21
90,-1,54421,Garrick Higgo,28.90,1474,51,23
90,-1,37275,Sam Ryder,28.90,1474,51,24
94,7,57362,Austin Eckroat,28.92,1851,64,23
94,0,59143,Mac Meissner,28.92,1446,50,24
96,-4,32367,Jorge Campillo,28.94,1389,48,24
97,1,45157,Cam Davis,28.95,1766,61,24
97,1,34587,Chan Kim,28.95,1621,56,23
99,1,55708,Hayden Buckley,28.96,1477,51,23
99,16,52666,Sami Valimaki,28.96,1390,48,24
101,-4,25900,Lucas Glover,28.97,1941,67,24
101,0,54628,Lee Hodges,28.97,1941,67,23
101,-5,27349,Alex Noren,28.97,1767,61,24
104,-1,27936,Martin Laird,28.98,1275,44,24
104,-1,40006,Erik van Rooyen,28.98,1710,59,23
106,-1,34563,Chesson Hadley,29.00,1276,44,24
106,-1,47420,Jake Knapp,29.00,1856,64,23
