REMOVE21a,REMOVE21b,PLAYER_ID,PLAYER,SG_TOTAL_AVG,REMOVE21c,REMOVE21d,REMOVE21e,REMOVE21f
1,0,46046,Scottie Scheffler,2.760,137.988,136.154,1.837,50
2,0,48081,Xander Schauffele,2.201,116.638,85.828,30.810,53
3,0,28237,Rory McIlroy,1.896,94.782,81.055,13.730,50
4,0,46414,Aaron Rai,1.377,81.219,68.919,12.300,59
5,0,50525,Collin Morikawa,1.372,72.725,64.708,8.017,53
6,0,52955,Ludvig Åberg,1.312,66.910,58.541,8.370,51
7,0,32839,Hideki Matsuyama,1.283,65.420,77.170,-11.749,51
8,0,29725,Tony Finau,1.194,65.688,76.515,-10.828,55
9,0,58168,Davis Thompson,1.193,72.773,63.752,9.021,61
10,0,56630,Akshay Bhatia,1.141,69.605,46.289,23.314,61
11,0,51634,Sahith Theegala,1.131,68.970,43.284,25.687,61
12,0,51766,Wyndham Clark,1.120,53.777,29.201,24.577,48
13,0,27349,Alex Noren,1.065,55.358,47.802,7.557,52
14,0,39997,Corey Conners,1.027,67.764,80.923,-13.157,66
15,0,46442,Maverick McNealy,0.998,54.897,35.027,19.870,55
16,0,34098,Russell Henley,0.982,51.044,33.618,17.426,52
17,0,45522,Christiaan Bezuidenhout,0.973,54.479,23.019,31.460,56
18,0,39546,Keith Mitchell,0.960,52.775,77.235,-24.460,55
19,0,27644,Brian Harman,0.946,60.535,37.661,22.874,64
20,0,40006,Erik van Rooyen,0.903,48.743,25.845,22.900,54
21,0,37455,Si Woo Kim,0.840,53.744,76.485,-22.741,64
22,0,39327,Ben Silverman,0.836,44.288,15.875,28.412,53
23,0,51997,Andrew Novak,0.824,45.310,35.693,9.616,55
24,0,39971,Sungjae Im,0.814,48.023,42.410,5.613,59
25,0,35532,Tom Hoge,0.812,54.373,43.890,10.484,67
26,0,24502,Adam Scott,0.808,40.421,24.496,15.925,50
27,0,33204,Shane Lowry,0.797,37.477,38.834,-1.354,47
28,0,47504,Sam Burns,0.791,39.533,23.351,16.183,50
29,0,52215,Robert MacIntyre,0.777,39.606,25.952,13.654,51
30,0,29420,Billy Horschel,0.752,38.333,10.251,28.082,51
31,0,35450,Patrick Cantlay,0.739,31.776,18.495,13.282,43
32,0,59143,Mac Meissner,0.731,31.429,31.884,-.455,43
33,0,52375,Doug Ghim,0.727,34.917,43.284,-8.369,48
34,0,33448,Justin Thomas,0.714,31.401,48.939,-17.537,44
35,0,30911,Tommy Fleetwood,0.681,35.404,27.555,7.850,52
36,0,47993,Denny McCarthy,0.670,42.854,-2.275,45.129,64
37,0,40250,Taylor Pendrith,0.658,33.540,5.216,28.323,51
38,0,54591,Ben Griffin,0.648,41.486,20.902,20.584,64
39,0,33948,Byeong Hun An,0.633,34.204,37.225,-3.021,54
40,0,46717,Viktor Hovland,0.593,23.720,11.579,12.142,40
41,0,28089,Jason Day,0.592,30.182,-1.147,31.330,51
42,0,34587,Chan Kim,0.547,25.699,44.494,-18.796,47
43,0,55893,Sam Stevens,0.539,29.651,13.166,16.484,55
44,0,34046,Jordan Spieth,0.528,30.101,26.549,3.551,57
45,0,47679,Victor Perez,0.514,25.166,20.331,4.836,49
46,0,36799,Stephan Jaeger,0.509,26.988,33.961,-6.972,53
47,0,29908,C.T. Pan,0.502,21.579,22.017,-.437,43
48,0,37378,Min Woo Lee,0.490,22.030,23.310,-1.279,45
49,0,34099,Harris English,0.473,27.884,-4.590,32.473,59
50,0,55182,Tom Kim,0.471,31.075,30.794,.283,66
51,0,28775,Nate Lashley,0.463,17.143,7.205,9.937,37
52,0,36801,Mark Hubbard,0.459,28.918,18.472,10.447,63
53,0,57975,Harry Hall,0.453,23.998,19.294,4.703,53
54,0,54783,Dylan Wu,0.448,23.759,14.220,9.537,53
55,0,40098,Matt Fitzpatrick,0.442,23.871,4.286,19.585,54
56,0,51977,Max Greyserman,0.432,18.996,4.134,14.861,44
57,0,57366,Cameron Young,0.428,25.654,39.115,-13.459,60
58,0,49960,Sepp Straka,0.407,21.549,25.810,-4.261,53
59,0,33653,Thomas Detry,0.398,21.904,-11.632,33.538,55
60,0,35461,Beau Hossler,0.392,21.583,-6.468,28.051,55
61,0,35506,Mackenzie Hughes,0.386,23.569,-13.314,36.883,61
62,0,33141,Keegan Bradley,0.384,19.591,23.713,-4.122,51
63,0,60004,Jacob Bridgeman,0.352,13.034,-4.987,18.021,37
64,0,57900,Chandler Phillips,0.339,16.938,1.916,15.022,50
65,0,24024,Zach Johnson,0.332,10.618,-3.886,14.503,32
65,0,52513,Carson Young,0.332,16.279,10.077,6.200,49
67,0,49771,J.T. Poston,0.328,19.049,1.643,17.407,58
68,0,48117,Kurt Kitayama,0.326,16.950,36.600,-19.650,52
69,0,50484,Hayden Springer,0.314,11.633,3.628,8.002,37
70,0,34213,Grayson Murray,0.306,10.085,11.354,-1.268,33
71,0,57362,Austin Eckroat,0.299,17.018,33.459,-16.440,57
72,0,45242,Kevin Yu,0.298,13.993,37.991,-23.998,47
73,0,25900,Lucas Glover,0.296,17.769,38.521,-20.754,60
74,0,27064,Jhonattan Vegas,0.288,9.505,30.501,-20.997,33
75,0,51287,Ryo Hisatsune,0.282,14.390,21.992,-7.604,51
76,0,32367,Jorge Campillo,0.269,10.238,19.877,-9.640,38
77,0,34563,Chesson Hadley,0.265,11.397,-2.958,14.354,43
78,0,48887,Matt Wallace,0.256,12.022,9.059,2.962,47
79,0,33399,Adam Hadwin,0.250,13.016,9.364,3.651,52
80,0,39977,Max Homa,0.237,13.038,12.157,.881,55
81,0,25493,Nick Taylor,0.234,13.100,9.677,3.423,56
82,0,51696,Rico Hoey,0.205,8.004,25.329,-17.327,39
83,0,34255,Joseph Bramlett,0.181,8.891,17.712,-8.822,49
83,0,50188,S.H. Kim,0.181,11.776,-21.075,32.852,65
85,0,30926,Chris Kirk,0.179,8.962,30.323,-21.360,50
86,0,27139,David Skinns,0.177,7.602,9.464,-1.863,43
87,0,52666,Sami Valimaki,0.150,6.748,7.084,-.337,45
88,0,33968,Thorbjørn Olesen,0.137,5.206,-7.030,12.236,38
89,0,26596,Ryan Moore,0.129,6.322,32.413,-26.093,49
90,0,47591,Eric Cole,0.124,8.533,-10.301,18.833,69
90,0,33413,Ben Martin,0.124,4.094,3.786,.306,33
92,0,59836,Pierceson Coody,0.117,4.794,-23.343,28.137,41
93,0,48153,Matthieu Pavon,0.110,4.524,-2.910,7.435,41
94,0,36699,Patrick Rodgers,0.078,4.677,2.357,2.319,60
95,0,40162,Justin Lower,0.076,4.416,-11.020,15.435,58
96,0,47420,Jake Knapp,0.073,4.308,2.115,2.193,59
97,0,34076,Joel Dahmen,0.067,3.287,30.133,-26.846,49
98,0,32640,Troy Merritt,0.066,2.967,9.627,-6.661,45
99,0,34256,Andrew Putnam,0.061,3.410,-16.495,19.904,56
100,0,29936,Ryan Fox,0.055,2.819,-11.020,13.840,51
101,0,30163,Henrik Norlander,0.044,1.144,1.677,-.533,26
102,-1,47663,Kevin Dougherty,0.042,1.463,6.674,-5.212,35
103,-1,32757,Patton Kizzire,0.030,0.968,13.216,-12.248,32
104,-1,39975,Michael Kim,0.025,1.115,-3.703,4.817,45
105,-1,33486,Roger Sloan,0.019,0.638,-5.000,5.638,33
106,-1,49947,Taylor Moore,0.016,1.004,-4.335,5.339,61
107,-1,54576,Patrick Fishburn,-0.001,-0.035,-.011,-.025,29
108,-1,28252,Seamus Power,-0.002,-0.113,7.884,-7.998,63
109,-1,30927,Brendon Todd,-0.018,-1.270,-24.352,23.081,70
110,-1,40058,Zac Blair,-0.040,-1.963,.033,-1.997,49
111,-1,40026,Daniel Berger,-0.055,-2.028,24.677,-26.705,37
