REMOVE13a,REMOVE13b,PLAYER_ID,PLAYER,Strokes_Adj_AVG,REMOVE13c,REMOVE13d,REMOVE13e
1,0,46046,Scottie Scheffler,68.462,4282,31.113,63
2,0,48081,Xander Schauffele,69.010,4594,29.665,67
3,0,28237,Rory McIlroy,69.558,3969,-4.207,57
4,0,50525,Collin Morikawa,69.715,4378,14.054,63
5,3,29420,Billy Horschel,69.822,4389,9.758,63
6,0,52955,Ludvig Åberg,69.914,4100,24.955,59
7,-2,58168,Davis Thompson,69.916,5136,37.795,74
8,1,27349,Alex Noren,69.964,4511,36.660,65
9,-2,46414,Aaron Rai,69.974,5063,45.084,73
10,3,24502,Adam Scott,70.060,4126,7.563,59
11,-1,39546,Keith Mitchell,70.086,4214,61.220,61
12,-1,45522,Christiaan Bezuidenhout,70.136,4471,17.711,64
13,2,39997,Corey Conners,70.163,5232,30.215,75
14,-2,56630,Akshay Bhatia,70.189,4960,23.414,71
15,15,34098,Russell Henley,70.220,4268,15.435,61
16,17,33204,Shane Lowry,70.263,4141,4.537,59
17,3,37455,Si Woo Kim,70.284,5368,43.852,77
18,0,52215,Robert MacIntyre,70.286,4380,48.020,63
19,-3,29725,Tony Finau,70.287,4678,31.217,67
20,5,33448,Justin Thomas,70.300,3847,19.476,55
21,-4,32839,Hideki Matsuyama,70.309,4269,19.851,61
22,-8,51634,Sahith Theegala,70.317,4826,25.899,69
23,1,47679,Victor Perez,70.356,4200,21.370,60
24,-3,46442,Maverick McNealy,70.358,4312,50.176,62
25,-3,27644,Brian Harman,70.369,4972,24.223,71
26,-3,54591,Ben Griffin,70.397,5548,83.741,80
27,1,40250,Taylor Pendrith,70.400,4126,27.593,59
28,1,51997,Andrew Novak,70.412,4095,59.303,59
29,12,39971,Sungjae Im,70.422,4954,45.978,71
30,2,47504,Sam Burns,70.432,4266,30.348,61
31,-4,30911,Tommy Fleetwood,70.444,4135,21.173,59
32,-13,51766,Wyndham Clark,70.451,3974,41.703,57
32,-6,35532,Tom Hoge,70.451,5364,60.728,77
34,-3,33653,Thomas Detry,70.452,4193,34.112,60
35,-1,39327,Ben Silverman,70.483,4373,67.423,63
36,-1,52375,Doug Ghim,70.492,3900,47.571,56
37,-1,40006,Erik van Rooyen,70.512,4379,63.256,63
38,-1,51977,Max Greyserman,70.533,3973,47.363,57
39,-1,34587,Chan Kim,70.535,4163,69.077,60
40,11,33948,Byeong Hun An,70.536,4414,29.772,63
41,4,35450,Patrick Cantlay,70.537,3989,31.621,57
42,-3,36801,Mark Hubbard,70.540,5088,61.452,73
43,-3,59143,Mac Meissner,70.554,3692,47.351,53
44,5,32367,Jorge Campillo,70.608,3360,29.163,48
45,1,27064,Jhonattan Vegas,70.619,2849,46.390,41
46,-4,47993,Denny McCarthy,70.623,4986,28.223,71
47,1,55893,Sam Stevens,70.624,4731,71.445,68
48,2,57900,Chandler Phillips,70.646,3972,54.798,57
49,-5,37378,Min Woo Lee,70.654,3937,19.612,56
50,-7,29908,C.T. Pan,70.659,3161,18.638,45
51,1,45242,Kevin Yu,70.675,3832,55.103,55
52,-5,55182,Tom Kim,70.688,5329,43.321,76
53,1,35461,Beau Hossler,70.691,4258,54.161,61
54,17,28089,Jason Day,70.702,4543,52.626,65
55,5,34046,Jordan Spieth,70.714,4497,28.672,64
56,13,35506,Mackenzie Hughes,70.716,4697,40.998,67
57,-2,34099,Harris English,70.738,4855,25.892,69
58,-2,40098,Matt Fitzpatrick,70.740,4436,20.607,63
59,11,49960,Sepp Straka,70.742,4440,16.733,63
60,-2,57975,Harry Hall,70.749,4249,66.679,61
61,11,29936,Ryan Fox,70.763,4245,0.802,60
62,-9,36799,Stephan Jaeger,70.764,4422,36.105,63
63,-6,49771,J.T. Poston,70.773,4841,42.308,69
63,5,57366,Cameron Young,70.773,4860,23.325,69
65,2,48117,Kurt Kitayama,70.779,4282,35.526,61
66,-7,39975,Michael Kim,70.782,4046,59.332,58
67,5,48887,Matt Wallace,70.793,3836,57.607,55
68,-4,52513,Carson Young,70.802,3906,58.902,56
69,-4,40162,Justin Lower,70.806,4693,51.033,67
70,-7,33141,Keegan Bradley,70.808,4165,12.689,59
71,-5,60004,Jacob Bridgeman,70.817,3481,59.828,50
72,-10,51287,Ryo Hisatsune,70.838,4480,53.625,64
73,4,48153,Matthieu Pavon,70.842,3885,11.283,55
74,2,34563,Chesson Hadley,70.855,3359,42.036,48
74,-13,24024,Zach Johnson,70.855,2802,32.205,40
76,3,54783,Dylan Wu,70.899,3985,56.265,57
77,3,51890,Greyson Sigg,70.904,3926,44.632,56
78,-3,33399,Adam Hadwin,70.906,4433,34.083,63
79,-1,57362,Austin Eckroat,70.909,4807,14.815,68
80,2,28775,Nate Lashley,70.919,3153,38.371,45
81,-7,46717,Viktor Hovland,70.925,3170,21.640,45
82,1,50188,S.H. Kim,70.960,5329,63.944,76
83,1,34255,Joseph Bramlett,70.979,3858,45.827,55
84,7,33968,Thorbjørn Olesen,70.981,3251,14.123,46
