REMOVE14a,REMOVE14b,PLAYER_ID,PLAYER,Scrambling_Rough%,REMOVE14c,REMOVE14d
1,0,39327,Ben Silverman,72.00%,90,125
2,0,54576,Patrick Fishburn,70.73%,58,82
3,0,30163,Henrik Norlander,69.35%,43,62
4,-1,30911,Tommy Fleetwood,69.05%,58,84
5,-1,27349,Alex Noren,69.00%,69,100
6,-1,32839,Hideki Matsuyama,68.37%,67,98
7,-1,22371,Aaron Baddeley,67.39%,93,138
8,-1,51890,Greyson Sigg,67.37%,64,95
9,-1,33448,Justin Thomas,67.12%,49,73
10,-1,50525,Collin Morikawa,66.32%,63,95
11,-1,28775,Nate Lashley,65.59%,61,93
12,-1,34310,Alexander Björk,65.56%,59,90
13,-1,39977,Max Homa,65.25%,92,141
14,-1,26596,Ryan Moore,65.18%,73,112
15,-1,54591,Ben Griffin,65.10%,97,149
16,-1,28252,Seamus Power,65.04%,80,123
17,-1,33413,Ben Martin,65.00%,65,100
18,-1,39971,Sungjae Im,64.96%,89,137
19,-1,34587,Chan Kim,64.66%,75,116
20,-1,32367,Jorge Campillo,64.60%,73,113
21,-1,35532,Tom Hoge,64.58%,93,144
22,-1,47993,Denny McCarthy,64.29%,90,140
22,-1,48081,Xander Schauffele,64.29%,63,98
24,-1,46046,Scottie Scheffler,64.15%,34,53
25,-1,36884,Ben Kohles,63.73%,65,102
26,-1,35506,Mackenzie Hughes,63.70%,93,146
27,-1,55893,Sam Stevens,63.64%,91,143
28,-1,28237,Rory McIlroy,63.46%,66,104
29,-1,52215,Robert MacIntyre,63.11%,77,122
30,-1,29420,Billy Horschel,63.03%,75,119
31,-1,40162,Justin Lower,62.83%,71,113
32,-1,59442,Parker Coody,62.61%,72,115
33,-1,34098,Russell Henley,62.50%,65,104
34,-1,57975,Harry Hall,62.31%,81,130
35,-1,57900,Chandler Phillips,62.22%,84,135
36,-1,46414,Aaron Rai,62.04%,67,108
37,-1,27936,Martin Laird,61.96%,57,92
37,-1,33968,Thorbjørn Olesen,61.96%,57,92
39,-1,29221,Webb Simpson,61.95%,70,113
40,-1,33486,Roger Sloan,61.90%,65,105
41,-1,24024,Zach Johnson,61.76%,42,68
