REMOVE15a,REMOVE15b,PLAYER_ID,PLAYER,Scrambling_Sand%,REMOVE15c,REMOVE15d
1,0,27936,Martin Laird,71.74%,33,46
2,0,34098,Russell Henley,70.00%,49,70
3,0,48081,Xander Schauffele,69.84%,44,63
4,0,55454,Carl Yuan,69.57%,32,46
5,0,22371,Aaron Baddeley,69.35%,43,62
6,0,39327,Ben Silverman,67.19%,43,64
7,0,47420,Jake Knapp,66.13%,41,62
8,0,27349,Alex Noren,65.67%,44,67
9,0,35461,Beau Hossler,65.57%,40,61
10,0,54783,Dylan Wu,65.31%,32,49
11,0,23320,Ryan Palmer,64.86%,24,37
12,0,45522,Christiaan Bezuidenhout,64.52%,40,62
13,0,52375,Doug Ghim,64.29%,36,56
14,0,46414,Aaron Rai,63.64%,35,55
15,0,32757,Patton Kizzire,63.16%,24,38
16,0,32839,Hideki Matsuyama,62.86%,44,70
17,0,51997,Andrew Novak,62.75%,32,51
18,0,47993,Denny McCarthy,62.65%,52,83
19,0,50188,S.H. Kim,62.11%,59,95
20,0,47504,Sam Burns,61.82%,34,55
21,0,34213,Grayson Murray,61.70%,29,47
21,0,26476,Chez Reavie,61.70%,29,47
23,0,52955,Ludvig Åberg,61.22%,30,49
24,0,52215,Robert MacIntyre,60.81%,45,74
25,0,37455,Si Woo Kim,60.56%,43,71
25,0,22405,Justin Rose,60.56%,43,71
27,0,34563,Chesson Hadley,60.47%,26,43
27,0,48887,Matt Wallace,60.47%,26,43
29,0,46441,Robby Shelton,60.38%,32,53
30,0,47483,Will Zalatoris,60.34%,35,58
31,0,30927,Brendon Todd,60.26%,47,78
32,0,39977,Max Homa,59.74%,46,77
33,0,55789,Taylor Montgomery,59.52%,25,42
34,0,54628,Lee Hodges,59.42%,41,69
34,0,29221,Webb Simpson,59.42%,41,69
36,0,23108,Matt Kuchar,59.38%,38,64
37,0,25493,Nick Taylor,59.21%,45,76
38,0,40115,Adam Svensson,58.97%,46,78
39,0,60004,Jacob Bridgeman,58.93%,33,56
40,0,28089,Jason Day,58.82%,40,68
40,0,36871,Matt NeSmith,58.82%,30,51
42,0,59143,Mac Meissner,58.49%,31,53
43,0,34256,Andrew Putnam,58.33%,42,72
44,0,32791,K.H. Lee,58.06%,36,62
45,0,34587,Chan Kim,57.81%,37,64
46,0,30911,Tommy Fleetwood,57.75%,41,71
47,0,27644,Brian Harman,57.65%,49,85
48,0,34310,Alexander Björk,57.14%,36,63
48,0,34255,Joseph Bramlett,57.14%,28,49
48,0,34099,Harris English,57.14%,40,70
48,0,46442,Maverick McNealy,57.14%,40,70
48,0,30163,Henrik Norlander,57.14%,12,21
53,-1,39975,Michael Kim,56.86%,29,51
54,-1,33948,Byeong Hun An,56.82%,25,44
54,-1,52453,Nicolai Højgaard,56.82%,25,44
56,-1,51766,Wyndham Clark,56.45%,35,62
57,-1,39546,Keith Mitchell,56.36%,31,55
58,-1,28252,Seamus Power,56.25%,45,80
59,-1,34466,Peter Malnati,56.16%,41,73
60,-1,39971,Sungjae Im,56.10%,46,82
61,-1,29420,Billy Horschel,56.06%,37,66
61,-1,50525,Collin Morikawa,56.06%,37,66
63,-1,57975,Harry Hall,55.93%,33,59
64,-1,40098,Matt Fitzpatrick,55.88%,38,68
65,-1,35506,Mackenzie Hughes,55.56%,40,72
65,-1,58168,Davis Thompson,55.56%,35,63
67,-1,33399,Adam Hadwin,55.41%,41,74
68,-1,49771,J.T. Poston,55.29%,47,85
69,-1,33141,Keegan Bradley,54.93%,39,71
70,-1,52374,Brandon Wu,54.90%,28,51
71,-1,51349,Nico Echavarria,54.79%,40,73
72,-1,33204,Shane Lowry,54.72%,29,53
73,-1,52513,Carson Young,54.55%,24,44
74,-1,32102,Rickie Fowler,54.43%,43,79
74,-1,30926,Chris Kirk,54.43%,43,79
76,-1,28420,Ryan Brehm,54.35%,25,46
77,-1,40058,Zac Blair,54.29%,38,70
77,-1,54591,Ben Griffin,54.29%,38,70
79,-1,47347,Adam Schenk,54.17%,39,72
80,-1,35450,Patrick Cantlay,53.57%,30,56
81,-1,24024,Zach Johnson,53.49%,23,43
82,-1,47983,Chad Ramey,53.23%,33,62
83,-1,57362,Austin Eckroat,53.16%,42,79
84,-1,33486,Roger Sloan,53.13%,17,32
85,-1,45157,Cam Davis,53.01%,44,83
