REMOVE16a,REMOVE16b,PLAYER_ID,PLAYER,Scrambling%,REMOVE16c,REMOVE16d
1,0,48081,Xander Schauffele,70.41%,238,338
2,3,22371,Aaron Baddeley,68.20%,223,327
3,0,27349,Alex Noren,68.12%,235,345
4,-2,32839,Hideki Matsuyama,67.91%,254,374
4,0,30163,Henrik Norlander,67.91%,127,187
6,1,39327,Ben Silverman,67.86%,228,336
7,-3,46046,Scottie Scheffler,67.62%,190,281
8,-2,47993,Denny McCarthy,66.73%,333,499
9,-1,46442,Maverick McNealy,65.23%,242,371
10,6,34587,Chan Kim,65.06%,203,312
11,8,54576,Patrick Fishburn,65.02%,132,203
12,6,45522,Christiaan Bezuidenhout,64.96%,267,411
12,3,29420,Billy Horschel,64.96%,241,371
14,-3,54591,Ben Griffin,64.93%,287,442
15,-6,30911,Tommy Fleetwood,64.80%,232,358
16,10,34098,Russell Henley,64.69%,251,388
17,10,50525,Collin Morikawa,64.63%,254,393
18,4,27936,Martin Laird,64.59%,166,257
19,-7,28237,Rory McIlroy,64.47%,225,349
20,0,39977,Max Homa,64.42%,277,430
21,4,55893,Sam Stevens,64.35%,231,359
22,-9,37455,Si Woo Kim,64.30%,290,451
23,5,28775,Nate Lashley,64.14%,161,251
24,5,55789,Taylor Montgomery,64.03%,178,278
25,-8,35506,Mackenzie Hughes,64.01%,297,464
26,4,34256,Andrew Putnam,63.98%,222,347
27,-4,28089,Jason Day,63.84%,256,401
28,-14,52955,Ludvig Åberg,63.83%,210,329
29,-19,46414,Aaron Rai,63.74%,232,364
30,-6,52215,Robert MacIntyre,63.64%,231,363
31,0,51890,Greyson Sigg,63.51%,181,285
32,7,35450,Patrick Cantlay,63.35%,223,352
32,0,57900,Chandler Phillips,63.35%,223,352
34,-1,26596,Ryan Moore,63.32%,183,289
35,0,33486,Roger Sloan,63.29%,150,237
36,1,52375,Doug Ghim,63.23%,184,291
37,3,60004,Jacob Bridgeman,63.12%,178,282
38,3,28252,Seamus Power,63.04%,249,395
39,-6,39971,Sungjae Im,63.02%,271,430
40,2,51997,Andrew Novak,62.78%,194,309
41,3,59442,Parker Coody,62.70%,195,311
42,-4,32367,Jorge Campillo,62.59%,184,294
43,-22,34310,Alexander Björk,62.50%,170,272
43,3,57975,Harry Hall,62.50%,225,360
45,4,59143,Mac Meissner,62.33%,182,292
46,4,45609,Tyler Duncan,62.26%,165,265
47,-1,34099,Harris English,62.25%,277,445
48,3,35461,Beau Hossler,62.21%,214,344
