PLAYER_ID,REMOVE11a,REMOVE11b,PLAYER,Putting_AVG,REMOVE11c,REMOVE11d,Putting_Birdie_Conversions,REMOVE8a,REMOVE8b,Par3_AVG,REMOVE8c,REMOVE8d,REMOVE5a,REMOVE5b,GIR_on_Fairway%,REMOVE5c,REMOVE5d,REMOVE1a,REMOVE1b,3Putts_AVG,REMOVE1c,REMOVE1d,REMOVE20a,REMOVE20b,SG_PUTTING_AVG,REMOVE20c,REMOVE20d,REMOVE10a,REMOVE10b,Par5_AVG,REMOVE10c,REMOVE10d,REMOVE17a,REMOVE17b,SG_APP_AVG,REMOVE17c,REMOVE17d,REMOVE6a,REMOVE6b,GIR%,REMOVE6c,REMOVE6d,GIR_RELATIVE/PAR,REMOVE13a,REMOVE13b,Strokes_Adj_AVG,REMOVE13c,REMOVE13d,REMOVE13e,REMOVE15a,REMOVE15b,Scrambling_Sand%,REMOVE15c,REMOVE15d,REMOVE14a,REMOVE14b,Scrambling_Rough%,REMOVE14c,REMOVE14d,REMOVE18a,REMOVE18b,SG_ARG_AVG,REMOVE18c,REMOVE18d,REMOVE12a,REMOVE12b,Total_Putts_AVG,REMOVE12c,REMOVE12d,REMOVE12e,REMOVE3a,REMOVE3b,Driver_Distance_AVG,REMOVE3c,REMOVE3d,REMOVE19a,REMOVE19b,SG_DRIVE_AVG,REMOVE19c,REMOVE19d,REMOVE16a,REMOVE16b,Scrambling%,REMOVE16c,REMOVE16d,REMOVE7a,REMOVE7b,Putts_Overall_AVG,REMOVE7c,REMOVE7d,REMOVE4a,REMOVE4b,GIR_off_Fairway%,REMOVE4c,REMOVE4d,REMOVE9a,REMOVE9b,Par4_AVG,REMOVE9c,REMOVE9d,REMOVE21a,REMOVE21b,SG_TOTAL_AVG,REMOVE21c,REMOVE21d,REMOVE21e,REMOVE21f,REMOVE2a,REMOVE2b,Fairway%,REMOVE2c,REMOVE2d
12716,82.0,1.0,Charley Hoffman,1.757,896.0,510.0,33.53%,99.0,0.0,3.06,600.0,196.0,18.0,1.0,80.06%,269.0,336.0,52.0,2.0,0.52,23.0,44.0,140.0,-1.0,-0.252,-9.815,39.0,53.0,11.0,4.55,700.0,154.0,95.0,-1.0,0.035,1.374,39.0,127.0,4.0,64.39%,510.0,792.0,-0.3,94.0,-2.0,71.041,3303.0,35.907,47.0,115.0,-1.0,50.00%,35.0,70.0,47.0,-1.0,61.18%,52.0,85.0,80.0,0.0,0.049,1.927,39.0,81.0,0.0,28.86,1270.0,44.0,25.0,61.0,-1.0,302.4,26615.0,88.0,82.0,0.0,0.098,3.833,39.0,94.0,4.0,59.57%,168.0,282.0,82.0,1.0,1.604,1270.0,792.0,157.0,4.0,48.90%,133.0,272.0,130.0,1.0,4.04,2003.0,496.0,113.0,-1.0,-0.069,-2.682,7.132,-9.815,39.0,150.0,-1.0,55.26%,336.0,608.0
22371,23.0,2.0,Aaron Baddeley,1.73,929.0,537.0,30.28%,17.0,4.0,3.0,649.0,216.0,176.0,0.0,70.74%,266.0,376.0,161.0,-2.0,0.33,16.0,48.0,6.0,0.0,0.61,26.22,43.0,119.0,7.0,4.63,851.0,184.0,149.0,-1.0,-0.372,-15.985,43.0,165.0,-1.0,62.15%,537.0,864.0,-0.29,129.0,-2.0,71.367,3587.0,52.735,51.0,5.0,0.0,69.35%,43.0,62.0,7.0,-1.0,67.39%,93.0,138.0,8.0,0.0,0.415,17.85,43.0,4.0,0.0,27.83,1336.0,48.0,24.0,173.0,-1.0,282.1,27077.0,96.0,174.0,-1.0,-0.781,-33.563,43.0,2.0,3.0,68.20%,223.0,327.0,4.0,0.0,1.546,1336.0,864.0,104.0,8.0,51.76%,147.0,284.0,105.0,5.0,4.03,2087.0,518.0,121.0,-1.0,-0.127,-5.476,-31.698,26.22,43.0,139.0,0.0,56.97%,376.0,660.0
22405,88.0,-10.0,Justin Rose,1.758,1090.0,620.0,31.29%,99.0,0.0,3.06,668.0,218.0,174.0,-2.0,71.13%,345.0,485.0,124.0,-22.0,0.4,22.0,55.0,94.0,0.0,0.02,0.949,47.0,117.0,3.0,4.62,785.0,170.0,164.0,0.0,-0.427,-20.068,47.0,159.0,6.0,62.63%,620.0,990.0,-0.29,117.0,33.0,71.278,3892.0,28.265,55.0,25.0,0.0,60.56%,43.0,71.0,70.0,-1.0,58.97%,69.0,117.0,100.0,0.0,-0.021,-0.986,47.0,28.0,2.0,28.45,1565.0,55.0,21.0,117.0,-14.0,296.2,32583.0,110.0,123.0,-1.0,-0.13,-6.089,47.0,50.0,25.0,61.89%,229.0,370.0,29.0,1.0,1.581,1565.0,990.0,128.0,26.0,50.52%,145.0,287.0,140.0,10.0,4.05,2439.0,602.0,152.0,-1.0,-0.557,-26.195,-27.144,0.949,47.0,57.0,9.0,62.82%,485.0,772.0
23108,82.0,1.0,Matt Kuchar,1.757,847.0,482.0,26.04%,155.0,0.0,3.11,610.0,196.0,175.0,-1.0,71.11%,288.0,405.0,168.0,-1.0,0.29,13.0,45.0,23.0,0.0,0.452,19.884,44.0,175.0,-1.0,4.76,733.0,154.0,169.0,-1.0,-0.562,-24.736,44.0,178.0,-1.0,59.51%,482.0,810.0,-0.25,126.0,-1.0,71.354,3418.0,6.975,48.0,36.0,0.0,59.38%,38.0,64.0,58.0,-1.0,60.48%,75.0,124.0,47.0,0.0,0.196,8.646,44.0,20.0,1.0,28.33,1275.0,45.0,23.0,168.0,-1.0,286.3,25767.0,90.0,157.0,-1.0,-0.37,-16.294,44.0,72.0,6.0,60.67%,199.0,328.0,20.0,1.0,1.574,1275.0,810.0,176.0,0.0,43.44%,96.0,221.0,130.0,1.0,4.04,2075.0,514.0,135.0,-1.0,-0.284,-12.5,-32.386,19.884,44.0,38.0,0.0,64.70%,405.0,626.0
23320,167.0,-1.0,Ryan Palmer,1.808,745.0,412.0,28.47%,171.0,-2.0,3.14,527.0,168.0,146.0,-1.0,73.75%,236.0,320.0,29.0,4.0,0.58,21.0,36.0,147.0,-1.0,-0.304,-9.727,32.0,53.0,11.0,4.55,582.0,128.0,166.0,0.0,-0.475,-15.205,32.0,143.0,3.0,63.58%,412.0,648.0,-0.24,153.0,-2.0,71.649,2754.0,40.311,39.0,11.0,0.0,64.86%,24.0,37.0,49.0,-1.0,60.87%,56.0,92.0,119.0,0.0,-0.086,-2.737,32.0,108.0,3.0,29.06,1046.0,36.0,23.0,91.0,2.0,299.0,21528.0,72.0,70.0,0.0,0.153,4.895,32.0,65.0,7.0,61.02%,144.0,236.0,108.0,2.0,1.614,1046.0,648.0,64.0,7.0,54.07%,93.0,172.0,140.0,1.0,4.05,1645.0,406.0,159.0,-1.0,-0.712,-22.77,-13.046,-9.727,32.0,34.0,-2.0,65.04%,320.0,492.0
24024,136.0,1.0,Zach Johnson,1.777,766.0,431.0,29.47%,35.0,1.0,3.01,487.0,162.0,169.0,-2.0,72.22%,234.0,324.0,76.0,0.0,0.47,17.0,36.0,22.0,0.0,0.453,14.503,32.0,169.0,-8.0,4.71,593.0,126.0,109.0,-1.0,-0.018,-0.566,32.0,68.0,-15.0,66.51%,431.0,648.0,-0.25,74.0,-13.0,70.855,2802.0,32.205,40.0,81.0,-1.0,53.49%,23.0,43.0,41.0,-1.0,61.76%,42.0,68.0,85.0,0.0,0.032,1.029,32.0,108.0,-3.0,29.06,1046.0,36.0,24.0,171.0,-1.0,283.3,20401.0,72.0,124.0,-1.0,-0.136,-4.35,32.0,97.0,-43.0,59.45%,129.0,217.0,108.0,-3.0,1.614,1046.0,648.0,96.0,-53.0,52.25%,93.0,178.0,24.0,-13.0,3.99,1722.0,432.0,65.0,0.0,0.332,10.618,-3.886,14.503,32.0,39.0,-11.0,64.54%,324.0,502.0
24502,63.0,-1.0,Adam Scott,1.75,1232.0,704.0,31.34%,17.0,4.0,3.0,720.0,240.0,109.0,15.0,75.42%,359.0,476.0,146.0,1.0,0.36,21.0,59.0,40.0,0.0,0.319,15.925,50.0,71.0,-17.0,4.57,814.0,178.0,79.0,-1.0,0.126,6.321,50.0,74.0,6.0,66.29%,704.0,1062.0,-0.3,10.0,3.0,70.06,4126.0,7.563,59.0,122.0,-1.0,49.12%,28.0,57.0,43.0,-1.0,61.36%,54.0,88.0,92.0,0.0,0.007,0.367,50.0,60.0,2.0,28.73,1695.0,59.0,24.0,37.0,1.0,305.8,36079.0,118.0,31.0,0.0,0.356,17.793,50.0,73.0,8.0,60.61%,217.0,358.0,60.0,1.0,1.596,1695.0,1062.0,37.0,-9.0,55.78%,193.0,346.0,87.0,23.0,4.02,2592.0,644.0,26.0,0.0,0.808,40.421,24.496,15.925,50.0,122.0,7.0,57.91%,476.0,822.0
24980,157.0,0.0,Scott Gutschewski,1.798,651.0,362.0,25.00%,58.0,0.0,3.03,449.0,148.0,118.0,0.0,75.20%,191.0,254.0,92.0,0.0,0.44,14.0,32.0,162.0,0.0,-0.456,-11.405,25.0,174.0,0.0,4.74,588.0,124.0,168.0,0.0,-0.553,-13.828,25.0,155.0,0.0,62.85%,362.0,576.0,-0.23,173.0,0.0,72.839,2506.0,43.353,35.0,133.0,0.0,48.39%,15.0,31.0,89.0,0.0,57.65%,49.0,85.0,127.0,0.0,-0.126,-3.154,25.0,150.0,0.0,29.41,941.0,32.0,24.0,131.0,0.0,293.9,18808.0,64.0,134.0,0.0,-0.183,-4.573,25.0,106.0,0.0,58.88%,126.0,214.0,150.0,0.0,1.634,941.0,576.0,175.0,0.0,44.09%,82.0,186.0,169.0,0.0,4.1,1469.0,358.0,169.0,0.0,-1.318,-32.957,-21.553,-11.405,25.0,126.0,0.0,57.73%,254.0,440.0
25493,99.0,-21.0,Nick Taylor,1.762,1214.0,689.0,30.28%,162.0,-7.0,3.12,811.0,260.0,148.0,-4.0,73.64%,380.0,516.0,84.0,-3.0,0.46,28.0,61.0,85.0,0.0,0.061,3.423,56.0,119.0,1.0,4.63,963.0,208.0,52.0,-1.0,0.291,16.286,56.0,156.0,-1.0,62.75%,689.0,1098.0,-0.28,110.0,-4.0,71.235,4519.0,40.063,64.0,37.0,0.0,59.21%,45.0,76.0,66.0,-1.0,59.70%,80.0,134.0,69.0,0.0,0.093,5.221,56.0,48.0,-6.0,28.62,1746.0,61.0,22.0,158.0,-2.0,290.7,35470.0,122.0,138.0,-2.0,-0.211,-11.841,56.0,70.0,-11.0,60.88%,249.0,409.0,48.0,-6.0,1.59,1746.0,1098.0,92.0,13.0,52.40%,175.0,334.0,64.0,7.0,4.01,2745.0,684.0,81.0,0.0,0.234,13.1,9.677,3.423,56.0,86.0,-2.0,60.71%,516.0,850.0
25900,82.0,-7.0,Lucas Glover,1.757,1402.0,798.0,30.58%,130.0,-7.0,3.09,834.0,270.0,120.0,-1.0,75.19%,485.0,645.0,146.0,6.0,0.36,24.0,67.0,150.0,-1.0,-0.346,-20.754,60.0,169.0,0.0,4.71,1018.0,216.0,15.0,0.0,0.523,31.351,60.0,82.0,-11.0,66.17%,798.0,1206.0,-0.29,92.0,-11.0,71.005,4726.0,31.314,67.0,88.0,-1.0,52.81%,47.0,89.0,118.0,-1.0,55.83%,67.0,120.0,56.0,0.0,0.143,8.589,60.0,101.0,-4.0,28.97,1941.0,67.0,24.0,167.0,-1.0,287.4,38517.0,134.0,106.0,0.0,-0.024,-1.418,60.0,142.0,-24.0,56.62%,231.0,408.0,99.0,-2.0,1.609,1941.0,1206.0,167.0,-8.0,47.42%,138.0,291.0,24.0,-7.0,3.99,2874.0,720.0,73.0,0.0,0.296,17.769,38.521,-20.754,60.0,11.0,-2.0,68.91%,645.0,936.0
