3Putts_AVG,Driver_Distance_AVG,Fairway%,GIR%,GIR_RELATIVE/PAR,GIR_off_Fairway%,GIR_on_Fairway%,PLAYER,PLAYER_ID,Par3_AVG,Par4_AVG,Par5_AVG,Putting_AVG,Putting_Birdie_Conversions,Putts_Overall_AVG,REMOVE10a,REMOVE10b,REMOVE10c,REMOVE10d,REMOVE11a,REMOVE11b,REMOVE11c,REMOVE11d,REMOVE12a,REMOVE12b,REMOVE12c,REMOVE12d,REMOVE12e,REMOVE13a,REMOVE13b,REMOVE13c,REMOVE13d,REMOVE13e,REMOVE14a,REMOVE14b,REMOVE14c,REMOVE14d,REMOVE15a,REMOVE15b,REMOVE15c,REMOVE15d,REMOVE16a,REMOVE16b,REMOVE16c,REMOVE16d,REMOVE17a,REMOVE17b,REMOVE17c,REMOVE17d,REMOVE18a,REMOVE18b,REMOVE18c,REMOVE18d,REMOVE19a,REMOVE19b,REMOVE19c,REMOVE19d,REMOVE1a,REMOVE1b,REMOVE1c,REMOVE1d,REMOVE20a,REMOVE20b,REMOVE20c,REMOVE20d,REMOVE21a,REMOVE21b,REMOVE21c,REMOVE21d,REMOVE21e,REMOVE21f,REMOVE2a,REMOVE2b,REMOVE2c,REMOVE2d,REMOVE3a,REMOVE3b,REMOVE3c,REMOVE3d,REMOVE4a,REMOVE4b,REMOVE4c,REMOVE4d,REMOVE5a,REMOVE5b,REMOVE5c,REMOVE5d,REMOVE6a,REMOVE6b,REMOVE6c,REMOVE6d,REMOVE7a,REMOVE7b,REMOVE7c,REMOVE7d,REMOVE8a,REMOVE8b,REMOVE8c,REMOVE8d,REMOVE9a,REMOVE9b,REMOVE9c,REMOVE9d,SG_APP_AVG,SG_ARG_AVG,SG_DRIVE_AVG,SG_PUTTING_AVG,SG_TOTAL_AVG,Scrambling%,Scrambling_Rough%,Scrambling_Sand%,Strokes_Adj_AVG,Total_Putts_AVG
0.52,302.4,55.26%,64.39%,-0.3,48.90%,80.06%,Charley Hoffman,12716,3.06,4.04,4.55,1.757,33.53%,1.604,53.0,11.0,700.0,154.0,82.0,1.0,896.0,510.0,81.0,0.0,1270.0,44.0,25.0,94.0,-2.0,3303.0,35.907,47.0,47.0,-1.0,52.0,85.0,115.0,-1.0,35.0,70.0,94.0,4.0,168.0,282.0,95.0,-1.0,1.374,39.0,80.0,0.0,1.927,39.0,82.0,0.0,3.833,39.0,52.0,2.0,23.0,44.0,140.0,-1.0,-9.815,39.0,113.0,-1.0,-2.682,7.132,-9.815,39.0,150.0,-1.0,336.0,608.0,61.0,-1.0,26615.0,88.0,157.0,4.0,133.0,272.0,18.0,1.0,269.0,336.0,127.0,4.0,510.0,792.0,82.0,1.0,1270.0,792.0,99.0,0.0,600.0,196.0,130.0,1.0,2003.0,496.0,0.035,0.049,0.098,-0.252,-0.069,59.57%,61.18%,50.00%,71.041,28.86
0.33,282.1,56.97%,62.15%,-0.29,51.76%,70.74%,Aaron Baddeley,22371,3.0,4.03,4.63,1.73,30.28%,1.546,119.0,7.0,851.0,184.0,23.0,2.0,929.0,537.0,4.0,0.0,1336.0,48.0,24.0,129.0,-2.0,3587.0,52.735,51.0,7.0,-1.0,93.0,138.0,5.0,0.0,43.0,62.0,2.0,3.0,223.0,327.0,149.0,-1.0,-15.985,43.0,8.0,0.0,17.85,43.0,174.0,-1.0,-33.563,43.0,161.0,-2.0,16.0,48.0,6.0,0.0,26.22,43.0,121.0,-1.0,-5.476,-31.698,26.22,43.0,139.0,0.0,376.0,660.0,173.0,-1.0,27077.0,96.0,104.0,8.0,147.0,284.0,176.0,0.0,266.0,376.0,165.0,-1.0,537.0,864.0,4.0,0.0,1336.0,864.0,17.0,4.0,649.0,216.0,105.0,5.0,2087.0,518.0,-0.372,0.415,-0.781,0.61,-0.127,68.20%,67.39%,69.35%,71.367,27.83
0.4,296.2,62.82%,62.63%,-0.29,50.52%,71.13%,Justin Rose,22405,3.06,4.05,4.62,1.758,31.29%,1.581,117.0,3.0,785.0,170.0,88.0,-10.0,1090.0,620.0,28.0,2.0,1565.0,55.0,21.0,117.0,33.0,3892.0,28.265,55.0,70.0,-1.0,69.0,117.0,25.0,0.0,43.0,71.0,50.0,25.0,229.0,370.0,164.0,0.0,-20.068,47.0,100.0,0.0,-0.986,47.0,123.0,-1.0,-6.089,47.0,124.0,-22.0,22.0,55.0,94.0,0.0,0.949,47.0,152.0,-1.0,-26.195,-27.144,0.949,47.0,57.0,9.0,485.0,772.0,117.0,-14.0,32583.0,110.0,128.0,26.0,145.0,287.0,174.0,-2.0,345.0,485.0,159.0,6.0,620.0,990.0,29.0,1.0,1565.0,990.0,99.0,0.0,668.0,218.0,140.0,10.0,2439.0,602.0,-0.427,-0.021,-0.13,0.02,-0.557,61.89%,58.97%,60.56%,71.278,28.45
0.29,286.3,64.70%,59.51%,-0.25,43.44%,71.11%,Matt Kuchar,23108,3.11,4.04,4.76,1.757,26.04%,1.574,175.0,-1.0,733.0,154.0,82.0,1.0,847.0,482.0,20.0,1.0,1275.0,45.0,23.0,126.0,-1.0,3418.0,6.975,48.0,58.0,-1.0,75.0,124.0,36.0,0.0,38.0,64.0,72.0,6.0,199.0,328.0,169.0,-1.0,-24.736,44.0,47.0,0.0,8.646,44.0,157.0,-1.0,-16.294,44.0,168.0,-1.0,13.0,45.0,23.0,0.0,19.884,44.0,135.0,-1.0,-12.5,-32.386,19.884,44.0,38.0,0.0,405.0,626.0,168.0,-1.0,25767.0,90.0,176.0,0.0,96.0,221.0,175.0,-1.0,288.0,405.0,178.0,-1.0,482.0,810.0,20.0,1.0,1275.0,810.0,155.0,0.0,610.0,196.0,130.0,1.0,2075.0,514.0,-0.562,0.196,-0.37,0.452,-0.284,60.67%,60.48%,59.38%,71.354,28.33
0.58,299.0,65.04%,63.58%,-0.24,54.07%,73.75%,Ryan Palmer,23320,3.14,4.05,4.55,1.808,28.47%,1.614,53.0,11.0,582.0,128.0,167.0,-1.0,745.0,412.0,108.0,3.0,1046.0,36.0,23.0,153.0,-2.0,2754.0,40.311,39.0,49.0,-1.0,56.0,92.0,11.0,0.0,24.0,37.0,65.0,7.0,144.0,236.0,166.0,0.0,-15.205,32.0,119.0,0.0,-2.737,32.0,70.0,0.0,4.895,32.0,29.0,4.0,21.0,36.0,147.0,-1.0,-9.727,32.0,159.0,-1.0,-22.77,-13.046,-9.727,32.0,34.0,-2.0,320.0,492.0,91.0,2.0,21528.0,72.0,64.0,7.0,93.0,172.0,146.0,-1.0,236.0,320.0,143.0,3.0,412.0,648.0,108.0,2.0,1046.0,648.0,171.0,-2.0,527.0,168.0,140.0,1.0,1645.0,406.0,-0.475,-0.086,0.153,-0.304,-0.712,61.02%,60.87%,64.86%,71.649,29.06
0.47,283.3,64.54%,66.51%,-0.25,52.25%,72.22%,Zach Johnson,24024,3.01,3.99,4.71,1.777,29.47%,1.614,169.0,-8.0,593.0,126.0,136.0,1.0,766.0,431.0,108.0,-3.0,1046.0,36.0,24.0,74.0,-13.0,2802.0,32.205,40.0,41.0,-1.0,42.0,68.0,81.0,-1.0,23.0,43.0,97.0,-43.0,129.0,217.0,109.0,-1.0,-0.566,32.0,85.0,0.0,1.029,32.0,124.0,-1.0,-4.35,32.0,76.0,0.0,17.0,36.0,22.0,0.0,14.503,32.0,65.0,0.0,10.618,-3.886,14.503,32.0,39.0,-11.0,324.0,502.0,171.0,-1.0,20401.0,72.0,96.0,-53.0,93.0,178.0,169.0,-2.0,234.0,324.0,68.0,-15.0,431.0,648.0,108.0,-3.0,1046.0,648.0,35.0,1.0,487.0,162.0,24.0,-13.0,1722.0,432.0,-0.018,0.032,-0.136,0.453,0.332,59.45%,61.76%,53.49%,70.855,29.06
0.36,305.8,57.91%,66.29%,-0.3,55.78%,75.42%,Adam Scott,24502,3.0,4.02,4.57,1.75,31.34%,1.596,71.0,-17.0,814.0,178.0,63.0,-1.0,1232.0,704.0,60.0,2.0,1695.0,59.0,24.0,10.0,3.0,4126.0,7.563,59.0,43.0,-1.0,54.0,88.0,122.0,-1.0,28.0,57.0,73.0,8.0,217.0,358.0,79.0,-1.0,6.321,50.0,92.0,0.0,0.367,50.0,31.0,0.0,17.793,50.0,146.0,1.0,21.0,59.0,40.0,0.0,15.925,50.0,26.0,0.0,40.421,24.496,15.925,50.0,122.0,7.0,476.0,822.0,37.0,1.0,36079.0,118.0,37.0,-9.0,193.0,346.0,109.0,15.0,359.0,476.0,74.0,6.0,704.0,1062.0,60.0,1.0,1695.0,1062.0,17.0,4.0,720.0,240.0,87.0,23.0,2592.0,644.0,0.126,0.007,0.356,0.319,0.808,60.61%,61.36%,49.12%,70.06,28.73
0.44,293.9,57.73%,62.85%,-0.23,44.09%,75.20%,Scott Gutschewski,24980,3.03,4.1,4.74,1.798,25.00%,1.634,174.0,0.0,588.0,124.0,157.0,0.0,651.0,362.0,150.0,0.0,941.0,32.0,24.0,173.0,0.0,2506.0,43.353,35.0,89.0,0.0,49.0,85.0,133.0,0.0,15.0,31.0,106.0,0.0,126.0,214.0,168.0,0.0,-13.828,25.0,127.0,0.0,-3.154,25.0,134.0,0.0,-4.573,25.0,92.0,0.0,14.0,32.0,162.0,0.0,-11.405,25.0,169.0,0.0,-32.957,-21.553,-11.405,25.0,126.0,0.0,254.0,440.0,131.0,0.0,18808.0,64.0,175.0,0.0,82.0,186.0,118.0,0.0,191.0,254.0,155.0,0.0,362.0,576.0,150.0,0.0,941.0,576.0,58.0,0.0,449.0,148.0,169.0,0.0,1469.0,358.0,-0.553,-0.126,-0.183,-0.456,-1.318,58.88%,57.65%,48.39%,72.839,29.41
0.46,290.7,60.71%,62.75%,-0.28,52.40%,73.64%,Nick Taylor,25493,3.12,4.01,4.63,1.762,30.28%,1.59,119.0,1.0,963.0,208.0,99.0,-21.0,1214.0,689.0,48.0,-6.0,1746.0,61.0,22.0,110.0,-4.0,4519.0,40.063,64.0,66.0,-1.0,80.0,134.0,37.0,0.0,45.0,76.0,70.0,-11.0,249.0,409.0,52.0,-1.0,16.286,56.0,69.0,0.0,5.221,56.0,138.0,-2.0,-11.841,56.0,84.0,-3.0,28.0,61.0,85.0,0.0,3.423,56.0,81.0,0.0,13.1,9.677,3.423,56.0,86.0,-2.0,516.0,850.0,158.0,-2.0,35470.0,122.0,92.0,13.0,175.0,334.0,148.0,-4.0,380.0,516.0,156.0,-1.0,689.0,1098.0,48.0,-6.0,1746.0,1098.0,162.0,-7.0,811.0,260.0,64.0,7.0,2745.0,684.0,0.291,0.093,-0.211,0.061,0.234,60.88%,59.70%,59.21%,71.235,28.62
0.36,287.4,68.91%,66.17%,-0.29,47.42%,75.19%,Lucas Glover,25900,3.09,3.99,4.71,1.757,30.58%,1.609,169.0,0.0,1018.0,216.0,82.0,-7.0,1402.0,798.0,101.0,-4.0,1941.0,67.0,24.0,92.0,-11.0,4726.0,31.314,67.0,118.0,-1.0,67.0,120.0,88.0,-1.0,47.0,89.0,142.0,-24.0,231.0,408.0,15.0,0.0,31.351,60.0,56.0,0.0,8.589,60.0,106.0,0.0,-1.418,60.0,146.0,6.0,24.0,67.0,150.0,-1.0,-20.754,60.0,73.0,0.0,17.769,38.521,-20.754,60.0,11.0,-2.0,645.0,936.0,167.0,-1.0,38517.0,134.0,167.0,-8.0,138.0,291.0,120.0,-1.0,485.0,645.0,82.0,-11.0,798.0,1206.0,99.0,-2.0,1941.0,1206.0,130.0,-7.0,834.0,270.0,24.0,-7.0,2874.0,720.0,0.523,0.143,-0.024,-0.346,0.296,56.62%,55.83%,52.81%,71.005,28.97
0.39,286.2,66.45%,67.68%,-0.25,51.47%,77.23%,Chez Reavie,26476,3.09,4.0,4.63,1.78,27.80%,1.633,119.0,7.0,759.0,164.0,139.0,1.0,954.0,536.0,147.0,-1.0,1293.0,44.0,23.0,128.0,-2.0,3378.0,47.186,48.0,141.0,-1.0,55.0,102.0,21.0,0.0,29.0,47.0,98.0,5.0,152.0,256.0,21.0,0.0,17.152,39.0,26.0,0.0,10.994,39.0,164.0,-1.0,-19.958,39.0,136.0,-6.0,17.0,44.0,161.0,0.0,-17.758,39.0,132.0,-1.0,-9.569,8.187,-17.758,39.0,22.0,-1.0,404.0,608.0,169.0,-1.0,25183.0,88.0,111.0,5.0,105.0,204.0,71.0,0.0,312.0,404.0,47.0,2.0,536.0,792.0,147.0,-1.0,1293.0,792.0,130.0,3.0,618.0,200.0,45.0,5.0,2001.0,500.0,0.44,0.282,-0.512,-0.455,-0.245,59.38%,53.92%,61.70%,71.358,29.39
0.54,288.1,69.62%,67.89%,-0.24,55.50%,77.45%,Ryan Moore,26596,3.08,4.02,4.64,1.787,26.64%,1.631,133.0,12.0,826.0,178.0,148.0,0.0,1092.0,611.0,143.0,0.0,1468.0,50.0,24.0,121.0,-2.0,3736.0,44.295,53.0,14.0,-1.0,73.0,112.0,163.0,-1.0,19.0,46.0,34.0,-1.0,183.0,289.0,24.0,0.0,21.143,49.0,38.0,0.0,11.25,49.0,102.0,0.0,0.004,49.0,47.0,1.0,27.0,50.0,167.0,-1.0,-26.093,49.0,89.0,0.0,6.322,32.413,-26.093,49.0,5.0,2.0,479.0,688.0,165.0,-1.0,28805.0,100.0,39.0,5.0,116.0,209.0,65.0,0.0,371.0,479.0,42.0,2.0,611.0,900.0,143.0,0.0,1468.0,900.0,125.0,-2.0,691.0,224.0,87.0,2.0,2219.0,552.0,0.431,0.23,0.0,-0.533,0.129,63.32%,65.18%,41.30%,71.326,29.36
